"title","year","popularity","comedy","fantasy","romance","horror","action","non-fiction","type"
"The Kings of Summer","2013","7.2","1","1","0","0","1","0","M"
"Sing","2016","7.2","1","0","0","0","0","0","M"
"Youth","2015","7.3","1","1","0","0","0","1","M"
"CafÃƒÂ© Society","2016","6.7","1","1","1","0","0","0","M"
"The Survivalist","2015","6.3","0","1","0","0","1","0","M"
"LÃƒÂ­da BaarovÃƒÂ¡","2016","5","0","1","0","0","0","1","M"
"Contratiempo","2016","7.9","0","0","0","1","1","0","M"
"John Wick","2014","7.2","0","0","0","1","1","0","M"
"The Levelling","2016","6.4","0","1","0","0","0","0","M"
"In Dubious Battle","2016","6.2","0","1","0","0","0","0","M"
"Twin Peaks: The Missing Pieces","2014","8.1","0","1","0","1","0","0","M"
"Colonia","2015","7.1","0","1","1","0","1","0","M"
"Mr. Nobody","2009","7.9","0","1","1","0","0","0","M"
"Barbershop: The Next Cut","2016","5.9","1","1","0","0","0","0","M"
"The Neighbor","2016","5.8","0","0","0","1","1","0","M"
"City of Tiny Lights","2016","5.7","0","1","0","1","1","0","M"
"Handsome Devil","2016","7.4","0","1","0","0","0","0","M"
"Jagten","2012","8.3","0","1","0","0","0","0","M"
"Aliens vs Predator - Requiem","2007","4.7","0","1","0","1","1","0","M"
"X: First Class","2011","7.8","0","1","0","0","1","0","M"
"Silence","2016","7.3","0","1","0","0","1","1","M"
"Lavender","2016","5.2","0","1","0","0","1","0","M"
"The Invitation","2015","6.7","0","1","0","1","1","0","M"
"Hello, My Name Is Doris","2015","6.7","1","1","1","0","0","0","M"
"The Great Wall","2016","6.1","0","1","0","0","1","0","M"
"Hell or High Water","2016","7.7","0","1","0","1","1","0","M"
"Don't Breathe","2016","7.2","0","0","0","1","1","0","M"
"Demain tout commence","2016","7.4","1","1","0","0","0","0","M"
"La La Land","2016","8.3","1","1","0","0","0","1","M"
"Deuces","2016","6.6","0","1","0","0","0","0","M"
"The Hollars","2016","6.5","1","1","1","0","0","0","M"
"Raw (II)","2016","7.5","0","1","0","1","0","0","M"
"The Comedian","2016","5.4","1","0","0","0","0","0","M"
"Mindhorn","2016","6.4","1","0","0","0","0","0","M"
"Paterson","2016","7.5","1","1","1","0","0","0","M"
"A United Kingdom","2016","6.8","0","1","1","0","0","1","M"
"Vincent N Roxxy","2016","5.5","0","1","0","1","1","0","M"
"Mommy","2014","8.1","0","1","0","0","0","0","M"
"Closed Circuit","2013","6.2","0","1","0","1","0","0","M"
"All We Had","2016","5.8","0","1","0","0","0","0","M"
"Their Finest","2016","7","1","1","1","0","0","0","M"
"USS Indianapolis: Men of Courage","2016","5.2","0","1","0","0","1","1","M"
"The Daughter","2015","6.7","0","1","0","0","0","0","M"
"The Lost City of Z","2016","7.1","0","0","0","0","1","1","M"
"Turbo Kid","2015","6.7","1","0","0","0","1","0","M"
"Passengers","2016","7","0","1","1","0","1","0","M"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer","2016","7.1","0","1","0","0","1","0","M"
"The Girl with All the Gifts","2016","6.7","0","1","0","1","1","0","M"
"Il racconto dei racconti - Tale of Tales","2015","6.4","0","1","0","1","0","0","M"
"Sully","2016","7.5","0","1","0","0","0","1","M"
"Why Him?","2016","6.3","1","0","0","0","0","0","M"
"3 Idiots","2009","8.4","1","1","0","0","0","0","M"
"What We Do in the Shadows","2014","7.6","1","1","0","1","0","0","M"
"Fences","2016","7.3","0","1","0","0","0","0","M"
"Storks","2016","6.9","1","0","0","0","1","0","M"
"Bridget Jones's Baby","2016","6.7","1","0","1","0","0","0","M"
"Friend Request","2016","5.4","0","0","0","1","1","0","M"
"Mr. Brooks","2007","7.3","0","1","0","1","1","0","M"
"The Ticket","2016","5.4","0","1","0","0","0","0","M"
"The VVitch: A New-England Folktale","2015","6.8","0","0","0","1","0","0","M"
"Love & Friendship","2016","6.5","1","1","1","0","0","0","M"
"This Beautiful Fantastic","2016","6.9","1","1","0","0","0","0","M"
"Nocturnal Animals","2016","7.5","0","1","0","0","1","0","M"
"Jane Eyre","2011","7.4","0","1","1","0","0","0","M"
"Captain Fantastic","2016","7.9","1","1","0","0","0","0","M"
"A Kind of Murder","2016","5.2","0","1","0","1","1","0","M"
"Hush","2016","6.6","0","0","0","1","1","0","M"
"Deja Vu","2006","7","0","1","0","0","1","0","M"
"Tramps","2016","6.5","1","0","1","0","0","0","M"
"Detour","2016","6.3","0","0","0","0","1","0","M"
"Death Proof","2007","7.1","0","0","0","0","1","0","M"
"Megan Is Missing","2011","4.9","0","1","0","1","1","0","M"
"WALLÃ‚Â·E","2008","8.4","1","0","0","0","1","0","M"
"Equals","2015","6.1","0","1","1","0","0","0","M"
"The Love Witch","2016","6.2","1","0","0","1","0","0","M"
"Realive","2016","5.9","0","1","0","0","0","0","M"
"Before We Go","2014","6.9","1","1","1","0","0","0","M"
"The Danish Girl","2015","7","0","1","1","0","0","1","M"
"Perfetti sconosciuti","2016","7.7","1","1","0","0","0","0","M"
"A Quiet Passion","2016","7.2","0","1","0","0","0","1","M"
"Forushande","2016","8","0","1","0","0","1","0","M"
"The Loft","2014","6.3","0","0","1","1","1","0","M"
"Furious Seven","2015","7.2","0","0","0","1","1","0","M"
"Let Me Make You a Martyr","2016","6.4","0","1","0","1","1","0","M"
"Angry Birds","2016","6.3","1","0","0","0","1","0","M"
"Resident Evil: The Final Chapter","2016","5.6","0","1","0","1","1","0","M"
"Furious 6","2013","7.1","0","0","0","1","1","0","M"
"The Blackcoat's Daughter","2015","5.6","0","0","0","1","1","0","M"
"Bacalaureat","2016","7.5","0","1","0","1","0","0","M"
"The Human Centipede (First Sequence)","2009","4.4","0","0","0","1","0","0","M"
"The Secret Scripture","2016","6.8","0","1","0","0","0","0","M"
"Hunger","2008","7.6","0","1","0","0","0","1","M"
"Love","2015","6","0","1","1","0","0","0","M"
"Before I Wake","2016","6.1","0","1","0","1","0","0","M"
"Filth","2013","7.1","1","1","0","1","0","0","M"
"Lawless","2012","7.3","0","1","0","1","0","0","M"
"Keeping Up with the Joneses","2016","5.8","1","0","0","0","1","0","M"
"Billy Lynn's Long Halftime Walk","2016","6.3","0","1","0","0","0","1","M"
"Live by Night","2016","6.4","0","1","0","1","0","0","M"
"Jackie","2016","6.8","0","1","0","0","0","1","M"
"Max Steel","2016","4.6","0","0","0","0","1","0","M"
"Knight of Cups","2015","5.7","0","1","1","0","0","0","M"
"The Siege of Jadotville","2016","7.3","0","1","0","0","1","0","M"
"Martyrs","2008","7.1","0","0","0","1","0","0","M"
"Doctor Strange","2016","7.6","0","1","0","0","1","0","M"
"The Do-Over","2016","5.7","1","0","0","0","1","0","M"
"Crimson Peak","2015","6.6","0","1","0","1","0","0","M"
"Exposed","2016","4.2","0","1","0","1","0","0","M"
"The Disappointments Room","2016","3.9","0","1","0","1","1","0","M"
"Tracktown","2016","5.9","0","1","0","0","0","1","M"
"The imposible","2012","7.6","0","1","0","0","1","0","M"
"True Crimes","2016","7.3","0","1","0","1","1","0","M"
"The Magnificent Seven","2016","6.9","0","0","0","0","1","0","M"
"Masterminds","2016","5.8","1","0","0","1","1","0","M"
"Maudie","2016","7.8","0","1","1","0","0","1","M"
"5/25/77","2007","7.1","1","1","0","0","0","0","M"
"The Intent","2016","3.5","0","1","0","1","0","0","M"
"Sisters","2015","6","1","0","0","0","0","0","M"
"The Accountant","2016","7.4","0","1","0","1","1","0","M"
"American Pastoral","2016","6.1","0","1","0","1","0","0","M"
"Brimstone","2016","7.1","0","0","0","1","1","0","M"
"Folk Hero & Funny Guy","2016","5.6","1","0","0","0","0","0","M"
"Gold","2016","6.7","0","1","0","0","1","0","M"
"Hardcore Henry","2015","6.7","0","1","0","0","1","0","M"
"Sleight","2016","6","0","1","0","0","1","0","M"
"Anthropoid","2016","7.2","0","0","0","0","1","1","M"
"Miss Peregrine's Home for Peculiar Children","2016","6.7","0","1","0","0","1","0","M"
"The Assignment","2016","4.5","0","0","0","1","1","0","M"
"Scouts Guide to the Zombie Apocalypse","2015","6.3","1","0","0","1","1","0","M"
"Kubo and the Two Strings","2016","7.9","1","0","0","0","1","0","M"
"Allied","2016","7.1","0","1","1","0","1","0","M"
"Lovesong","2016","6.4","0","1","0","0","0","0","M"
"Underworld Awakening","2012","6.4","0","1","0","1","1","0","M"
"The Babysitters","2007","5.7","0","1","0","0","0","0","M"
"Manchester by the Sea","2016","7.9","0","1","0","0","0","0","M"
"Christine","2016","7","0","1","0","0","0","1","M"
"Beyond the Gates","2016","5.2","0","0","0","1","1","0","M"
"Hounds of Love","2016","6.7","0","1","0","1","0","0","M"
"A Monster Calls","2016","7.5","0","1","0","0","0","0","M"
"Viking","2016","4.7","0","1","0","0","1","1","M"
"RocknRolla","2008","7.3","0","0","0","1","1","0","M"
"Mike and Dave Need Wedding Dates","2016","6","1","0","1","0","1","0","M"
"Antichrist","2009","6.6","0","1","0","1","0","0","M"
"Blair Witch","2016","5.1","0","0","0","1","1","0","M"
"War on Everyone","2016","5.9","1","0","0","0","1","0","M"
"Man Down","2015","5.8","0","1","0","0","1","0","M"
"Trolls","2016","6.5","1","0","0","0","1","0","M"
"Sing Street","2016","8","1","1","0","0","0","1","M"
"Friday the 13th","2009","5.6","0","0","0","1","0","0","M"
"Life as We Know It","2010","6.6","1","1","1","0","0","0","M"
"Queen of Katwe","2016","7.4","0","1","0","0","0","1","M"
"Boyka: Undisputed IV","2016","7.4","0","0","0","0","1","0","M"
"Collateral Beauty","2016","6.8","0","1","1","0","0","0","M"
"Whiskey Tango Foxtrot","2016","6.6","1","1","0","0","0","1","M"
