,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
0,The Chronicles of Narnia: Prince Caspian,2008,6.3,,M,1,0,1,0,0,0
1,King Kong,2005,6.6,,M,1,0,1,0,0,0
2,Titanic,1997,7.5,http://www.titanicmovie.com,M,1,0,1,0,0,1
3,Spider-Man 2,2004,6.7,http://www.sonypictures.com/movies/spider-man2/,M,1,0,1,0,0,0
4,Iron Man 3,2013,6.8,http://marvel.com/ironman3,M,1,0,1,0,0,0
5,Oz: The Great and Powerful,2013,5.7,http://www.ozthegreatandpowerfulmovie.com,M,1,0,1,0,0,0
6,TRON: Legacy,2010,6.3,http://disney.go.com/tron/,M,1,0,1,0,0,0
7,Furious 7,2015,7.3,http://www.furious7.com/,M,1,0,0,0,0,0
8,Jack the Giant Slayer,2013,5.5,http://jackthegiantkiller.warnerbros.com,M,1,0,1,0,0,0
9,The Good Dinosaur,2015,6.6,http://movies.disney.com/the-good-dinosaur,M,1,1,0,0,0,0
10,WALLÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·E,2008,7.8,http://disney.go.com/disneypictures/wall-e/,M,0,1,0,0,0,0
11,Rush Hour 3,2007,6.1,,M,1,1,0,1,0,0
12,A Christmas Carol,2009,6.6,http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl,M,0,1,1,0,0,0
13,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.7,,M,1,0,1,0,0,0
14,Monsters vs Aliens,2009,6,http://www.monstersvsaliens.com/,M,1,1,1,0,0,0
15,Wild Wild West,1999,5.1,,M,1,1,1,0,0,0
16,Evan Almighty,2007,5.3,http://www.evanalmighty.com/,M,0,1,1,0,0,0
17,Waterworld,1995,5.9,,M,1,0,0,0,0,0
18,The Lovers,2015,4.8,,M,1,0,1,0,0,1
19,47 Ronin,2013,5.9,,M,1,0,1,0,0,0
20,Shrek Forever After,2010,6,http://www.shrekforeverafter.com/,M,1,1,1,0,0,0
21,The Polar Express,2004,6.4,,M,1,1,1,0,0,0
22,Terminator 3: Rise of the Machines,2003,5.9,,M,1,0,1,0,0,0
23,Shin Godzilla,2016,6.5,,M,1,0,1,1,0,0
24,The Fast and the Furious,2001,6.6,,M,1,0,0,1,0,0
25,X-Men: First Class,2011,7.1,http://www.x-menfirstclassmovie.com/,M,1,0,1,0,0,0
26,The Sorcerer's Apprentice,2010,5.8,http://disney.go.com/disneypictures/sorcerersapprentice/,M,1,1,1,0,0,0
27,Poseidon,2006,5.5,http://www2.warnerbros.com/poseidon/,M,1,0,1,0,0,0
28,Shrek the Third,2007,6,http://www.shrekthethird.com/flash/index.html,M,1,1,1,0,0,0
29,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,6.2,,M,1,0,1,0,0,0
30,Pearl Harbor,2001,6.6,,M,0,0,0,0,1,1
31,Alexander,2004,5.6,,M,1,0,1,0,1,1
32,Harry Potter and the Goblet of Fire,2005,7.5,http://harrypotter.warnerbros.com/,M,1,0,1,0,0,0
33,Charlie and the Chocolate Factory,2005,6.7,https://www.warnerbros.com/charlie-and-chocolate-factory,M,1,1,1,0,0,0
34,Batman Begins,2005,7.5,http://www2.warnerbros.com/batmanbegins/index.html,M,1,0,1,1,0,0
35,Madagascar: Escape 2 Africa,2008,6.2,http://www.madagascar-themovie.com,M,0,1,0,0,0,0
36,Night at the Museum: Battle of the Smithsonian,2009,5.9,http://www.nightatthemuseummovie.com,M,1,1,1,0,0,0
37,The Matrix Revolutions,2003,6.4,,M,1,0,1,0,0,0
38,The Matrix Reloaded,2003,6.7,,M,1,0,1,0,0,0
39,Angels & Demons,2009,6.5,http://www.angelsanddemons.com/,M,1,0,0,1,0,0
40,Bolt,2008,6.3,http://movies.disney.com/bolt,M,1,1,0,0,0,0
41,G-Force,2009,5.1,http://disney.go.com/disneypictures/gforce/,M,1,1,1,0,0,0
42,The Wolfman,2010,5.5,http://www.thewolfmanmovie.com/,M,1,0,1,1,0,0
43,Bee Movie,2007,5.7,http://www.beemovie.com/,M,1,1,0,0,0,0
44,Kung Fu Panda 2,2011,6.7,http://www.kungfupanda.com/,M,0,1,0,0,0,0
45,Mars Needs Moms,2011,5.5,http://disney.go.com/disneypictures/marsneedsmoms/#home,M,1,1,0,0,0,0
46,Flushed Away,2006,6,http://www.dreamworksanimation.com/flushed/,M,1,1,0,0,0,0
47,Mr. Peabody & Sherman,2014,6.7,,M,1,1,0,0,0,0
48,Troy,2004,6.9,,M,1,0,1,0,1,0
49,Madagascar 3: Europe's Most Wanted,2012,6.4,,M,0,1,0,0,0,0
50,Die Another Day,2002,5.8,http://www.mgm.com/view/movie/232/Die-Another-Day/,M,1,0,0,0,0,0
51,Armageddon,1998,6.4,,M,1,0,1,0,0,0
52,Men in Black II,2002,6,http://www.sonypictures.com/homevideo/meninblackii/,M,1,1,1,0,0,0
53,Rise of the Guardians,2012,7.1,http://www.riseoftheguardians.com/,M,0,1,1,0,0,0
54,Fun with Dick and Jane,2005,5.9,http://www.sonypictures.com/movies/funwithdickandjane/,M,0,1,0,0,0,0
55,The Last Samurai,2003,7.3,,M,1,0,1,0,1,0
56,Spider-Man,2002,6.8,http://www.sonypictures.com/movies/spider-man/,M,1,0,1,0,0,0
57,Stealth,2005,4.9,,M,1,0,0,0,0,0
58,Lethal Weapon 4,1998,6.3,,M,1,1,0,1,0,0
59,Hulk,2003,5.3,,M,1,0,1,0,0,0
60,Sahara,2005,5.7,,M,1,1,1,1,0,0
61,Final Fantasy: The Spirits Within,2001,5.9,,M,1,1,1,0,0,0
62,The World Is Not Enough,1999,6,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,M,1,0,0,0,0,0
63,Master and Commander: The Far Side of the World,2003,6.9,http://www.masterandcommanderthefarsideoftheworld.com/,M,1,0,0,0,0,0
64,Happy Feet Two,2011,5.8,http://happyfeettwo.warnerbros.com/index.html,M,0,1,0,0,0,0
65,Turbo,2013,6.1,http://www.turbomovie.com/,M,0,1,0,0,0,0
66,Rango,2011,6.6,http://www.rangomovie.com/,M,1,1,0,0,0,0
67,Penguins of Madagascar,2014,6.5,,M,1,1,0,0,0,0
68,War of the Worlds,2005,6.2,,M,1,0,1,0,0,0
69,Bad Boys II,2003,6.3,,M,1,1,0,1,0,0
70,Puss in Boots,2011,6.4,,M,1,1,1,0,0,0
71,The Adventures of Tintin,2011,6.7,http://www.us.movie.tintin.com/,M,1,1,0,1,0,0
72,Harry Potter and the Prisoner of Azkaban,2004,7.7,,M,1,0,1,0,0,0
73,Dinosaur,2000,6.2,,M,0,1,0,0,0,0
74,Harry Potter and the Philosopher's Stone,2001,7.5,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,M,1,0,1,0,0,0
75,R.I.P.D.,2013,5.4,http://www.ripd.com/,M,1,1,1,1,0,0
76,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.5,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,M,1,0,1,0,0,0
77,Rio 2,2014,6.3,http://www.riomovies.com/,M,1,1,0,0,0,0
78,X2,2003,6.8,,M,1,0,1,0,0,0
79,Total Recall,1990,7.1,,M,1,0,1,0,0,0
80,The 13th Warrior,1999,6.4,,M,1,0,1,0,0,0
81,Batman & Robin,1997,4.2,,M,1,0,1,1,0,0
82,How the Grinch Stole Christmas,2000,6.2,http://www.grinched.com/,M,0,1,1,0,0,0
83,The Day After Tomorrow,2004,6.2,http://www.thedayaftertomorrow.com/,M,1,0,1,0,0,0
84,Mission: Impossible II,2000,5.9,http://www.missionimpossible.com/,M,1,0,0,0,0,0
85,The Perfect Storm,2000,6.2,,M,0,0,1,0,0,0
86,Fantastic 4: Rise of the Silver Surfer,2007,5.4,,M,1,0,1,0,0,0
87,Charlie's Angels: Full Throttle,2003,5.2,,M,1,1,0,0,0,0
88,Stuart Little 2,2002,5.4,,M,1,1,0,0,0,0
89,The Chronicles of Riddick,2004,6.3,,M,1,0,1,0,0,0
90,Speed Racer,2008,5.7,http://www.speedracerthemovie.warnerbros.com/,M,1,0,1,0,0,0
91,How Do You Know,2010,4.9,http://www.howdoyouknow-movie.com/,M,0,1,1,0,0,1
92,Knight and Day,2010,5.9,http://www.knightanddaymovie.com,M,1,1,0,0,0,0
93,Star Wars: Episode III - Revenge of the Sith,2005,7.1,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,M,1,0,1,0,0,0
94,Star Wars: Episode II - Attack of the Clones,2002,6.4,http://www.starwars.com/films/star-wars-episode-ii-attack-of-the-clones,M,1,0,1,0,0,0
95,"Monsters, Inc.",2001,7.5,http://movies.disney.com/monsters-inc,M,0,1,0,0,0,0
96,Star Wars: Episode I - The Phantom Menace,1999,6.3,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,M,1,0,1,0,0,0
97,The Croods,2013,6.8,http://www.thecroodsmovie.com/,M,1,1,1,0,0,0
98,Asterix at the Olympic Games,2008,5,http://www.asterixauxjeuxolympiques.com/index.php,M,1,1,1,0,0,0
99,Windtalkers,2002,5.8,,M,1,0,1,0,1,0
100,Dante's Peak,1997,5.7,,M,1,0,0,0,0,0
101,Night at the Museum,2006,6.3,,M,1,1,1,0,0,0
102,Tomorrow Never Dies,1997,6,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,M,1,0,0,0,0,0
103,The Patriot,2000,6.8,,M,1,0,1,0,1,0
104,Ocean's Twelve,2004,6.4,http://oceans12.warnerbros.com/,M,1,0,0,1,0,0
105,Mr. & Mrs. Smith,2005,6.5,,M,1,1,1,0,0,0
106,The Aviator,2004,7,,M,0,0,1,0,0,0
107,Gulliver's Travels,2010,4.9,,M,0,1,0,0,0,0
108,The Green Hornet,2011,5.5,http://www.sonypictures.com/movies/thegreenhornet/,M,1,1,0,1,0,0
109,The Smurfs,2011,5.5,http://www.smurfhappens.com/,M,1,1,1,0,0,0
110,Home on the Range,2004,5.7,http://movies.disney.com/home-on-the-range,M,0,1,0,0,0,0
111,The Smurfs 2,2013,5.5,http://smurfhappens.com,M,0,1,1,0,0,0
112,Speed 2: Cruise Control,1997,4.1,,M,1,0,0,0,0,0
113,The Lord of the Rings: The Fellowship of the Ring,2001,8,http://www.lordoftherings.net/,M,1,0,1,0,0,0
114,Around the World in 80 Days,2004,5.7,,M,1,1,0,0,0,0
115,Ali,2001,6.7,,M,0,0,1,0,0,0
116,The Cat in the Hat,2003,4.9,,M,0,1,1,0,0,0
117,"I, Robot",2004,6.7,,M,1,0,1,0,0,0
118,Kingdom of Heaven,2005,6.6,http://www.kingdomofheavendvd.com/,M,1,0,1,0,1,0
119,Stuart Little,1999,5.8,,M,0,1,1,0,0,0
120,The Island,2005,6.5,http://www.theisland-themovie.com/,M,1,0,1,0,0,0
121,Town & Country,2001,3.7,,M,0,1,0,0,0,1
122,Gone in Sixty Seconds,2000,6.1,,M,1,0,0,1,0,0
123,Gladiator,2000,7.9,,M,1,0,1,0,0,0
124,Minority Report,2002,7.1,,M,1,0,1,1,0,0
125,Harry Potter and the Chamber of Secrets,2002,7.4,,M,1,0,1,0,0,0
126,Planet of the Apes,2001,5.6,,M,1,0,1,0,0,0
127,Terminator 2: Judgment Day,1991,7.7,,M,1,0,1,0,0,0
128,True Lies,1994,6.8,,M,1,0,0,0,0,0
129,The Taking of Pelham 1 2 3,2009,6.2,http://www.sonypictures.com/movies/thetakingofpelham123/,M,1,0,1,1,0,0
130,Little Fockers,2010,5.4,http://www.littlefockers.net/,M,0,1,0,0,0,1
131,Eraser,1996,5.6,http://www.warnerbros.com/eraser,M,1,0,1,1,0,0
132,The Hunchback of Notre Dame,1996,6.8,,M,0,1,1,0,0,0
133,The Emperor's New Groove,2000,7.2,,M,1,1,1,0,0,0
134,National Treasure,2004,6.4,,M,1,0,0,1,0,0
135,Eragon,2006,4.9,http://www.eragonmovie.com/,M,1,0,1,0,0,0
136,Where the Wild Things Are,2009,6.4,http://wherethewildthingsare.warnerbros.com/,M,0,0,1,0,0,0
137,Epic,2013,6.4,,M,1,1,1,0,0,0
138,The Tourist,2010,6,http://thetourist-movie.com/,M,1,0,0,0,0,1
139,End of Days,1999,5.5,http://www.end-of-days.com/,M,1,0,1,1,0,0
140,Batman Forever,1995,5.2,,M,1,0,1,1,0,0
141,Starship Troopers,1997,6.7,,M,1,0,1,0,0,0
142,Legend of the Guardians: The Owls of Ga'Hoole,2010,6.5,http://legendoftheguardians.warnerbros.com/,M,1,1,1,0,0,0
143,Catwoman,2004,4.2,,M,1,0,0,1,0,0
144,Treasure Planet,2002,7.2,,M,1,1,1,0,0,0
145,Land of the Lost,2009,5.3,,M,1,1,1,0,0,0
146,Son of the Mask,2005,3.6,,M,1,1,1,0,0,0
147,The Adventures of Pluto Nash,2002,4.4,,M,1,1,1,0,0,0
148,Green Zone,2010,6.4,http://www.greenzonemovie.com/,M,1,0,1,0,1,0
149,The Peanuts Movie,2015,6.5,http://www.peanutsmovie.com/,M,0,1,0,0,0,0
150,The Spanish Prisoner,1997,7.1,,M,1,0,1,1,0,0
151,The Mummy Returns,2001,6,,M,1,0,1,0,0,0
152,Gangs of New York,2002,7.1,http://video.movies.go.com/gangsofnewyork/,M,0,0,1,1,1,0
153,The Flowers of War,2011,7.1,http://www.theflowersofwarmovie.com/,M,0,0,1,0,1,0
154,Surf's Up,2007,5.9,http://www.sonypictures.com/homevideo/surfsup/,M,0,1,0,0,0,0
155,The Stepford Wives,2004,5.4,,M,1,1,1,0,0,0
156,Black Hawk Down,2001,7.2,,M,1,0,0,0,1,0
157,The Campaign,2012,5.6,,M,0,1,0,0,0,0
158,The Fifth Element,1997,7.3,,M,1,0,1,0,0,0
159,The Road to El Dorado,2000,7,,M,1,1,0,0,0,0
160,Ice Age: Continental Drift,2012,6.2,http://www.iceagemovies.com/films/ice-age-continental-drift,M,1,1,0,0,0,0
161,Finding Nemo,2003,7.6,http://movies.disney.com/finding-nemo,M,0,1,0,0,0,0
162,The Lord of the Rings: The Return of the King,2003,8.1,http://www.lordoftherings.net,M,1,0,1,0,0,0
163,The Lord of the Rings: The Two Towers,2002,8,http://www.lordoftherings.net/,M,1,0,1,0,0,0
164,Lara Croft: Tomb Raider,2001,5.7,,M,1,0,1,0,0,0
165,Jurassic Park III,2001,5.7,,M,1,0,1,0,0,0
166,The Spiderwick Chronicles,2008,6.3,,M,1,0,1,0,0,0
167,A Good Day to Die Hard,2013,5.2,http://www.diehardmovie.com/,M,1,0,0,0,0,0
168,The Alamo,2004,5.8,,M,1,0,0,0,1,0
169,The Incredibles,2004,7.4,http://disney.go.com/disneyvideos/animatedfilms/incredibles/main.html,M,1,1,0,0,0,0
170,Cutthroat Island,1995,5.7,,M,1,0,0,0,0,0
171,Men in Black,1997,6.9,http://www.sonypictures.com/homevideo/meninblack/,M,1,1,1,0,0,0
172,Toy Story 2,1999,7.3,http://toystory.disney.com/toy-story-2,M,0,1,0,0,0,0
173,Rush Hour 2,2001,6.4,,M,1,1,0,1,0,0
174,What Lies Beneath,2000,6.3,,M,1,0,1,1,0,0
175,Cloudy with a Chance of Meatballs,2009,6.5,http://www.cloudywithachanceofmeatballs.com/,M,0,1,0,0,0,0
176,Ice Age: Dawn of the Dinosaurs,2009,6.5,http://www.iceagemovies.com/films/ice-age-dawn-of-the-dinosaurs,M,1,1,0,0,0,0
177,Charlie's Angels,2000,5.6,,M,1,1,0,1,0,0
