title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
Ex Machina,2014,7.7,0,1,0,1,0,0,M
The Belko Experiment,2016,6.3,0,0,0,1,1,0,M
12 Years a Slave,2013,8.1,0,1,0,0,0,1,M
The Bad Batch,2016,6.1,0,1,1,0,0,0,M
300,2006,7.7,0,1,0,0,1,1,M
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,0,1,0,0,1,0,M
Office Christmas Party,2016,5.8,1,0,0,0,0,0,M
The Neon Demon,2016,6.2,0,0,0,1,1,0,M
Dangal,2016,8.8,0,1,0,0,1,1,M
10 Cloverfield Lane,2016,7.2,0,1,0,1,0,0,M
Finding Dory,2016,7.4,1,0,0,0,1,0,M
Miss Peregrine's Home for Peculiar Children,2016,6.7,0,1,0,0,1,0,M
Divergent,2014,6.7,0,1,0,1,1,0,M
Mike and Dave Need Wedding Dates,2016,6,1,0,1,0,1,0,M
Boyka: Undisputed IV,2016,7.4,0,0,0,0,1,0,M
The Dark Knight Rises,2012,8.5,0,0,0,0,1,0,M
The Jungle Book,2016,7.5,0,1,0,0,1,0,M
Transformers: Age of Extinction,2014,5.7,0,1,0,0,1,0,M
Nerve,2016,6.6,0,0,0,1,1,0,M
Mamma Mia!,2008,6.4,1,0,0,0,0,1,M
The Revenant,2015,8,0,1,0,0,1,0,M
Fences,2016,7.3,0,1,0,0,0,0,M
Into the Woods,2014,6,1,1,0,0,1,0,M
The Shallows,2016,6.4,0,1,0,1,1,0,M
Whiplash,2014,8.5,0,1,0,0,0,1,M
Furious 6,2013,7.1,0,0,0,1,1,0,M
The Place Beyond the Pines,2012,7.3,0,1,0,1,1,0,M
No Country for Old Men,2007,8.1,0,1,0,1,1,0,M
The Great Gatsby,2013,7.3,0,1,1,0,0,0,M
Shutter Island,2010,8.1,0,0,0,1,1,0,M
Brimstone,2016,7.1,0,0,0,1,1,0,M
Star Trek,2009,8,0,1,0,0,1,0,M
Diary of a Wimpy Kid,2010,6.2,1,0,0,0,0,0,M
The Big Short,2015,7.8,1,1,0,0,0,1,M
Room,2015,8.2,0,1,0,0,0,0,M
Django Unchained,2012,8.4,0,1,0,0,1,0,M
Ah-ga-ssi,2016,8.1,0,1,1,1,0,0,M
The Edge of Seventeen,2016,7.4,1,1,0,0,0,0,M
Watchmen,2009,7.6,0,1,0,1,1,0,M
Superbad,2007,7.6,1,0,0,0,0,0,M
Inferno,2016,6.2,0,0,0,1,1,0,M
The BFG,2016,6.4,0,1,0,0,1,0,M
The Hunger Games,2012,7.2,0,1,0,0,1,0,M
White Girl,2016,5.8,0,1,0,0,0,0,M
Sicario,2015,7.6,0,1,0,1,1,0,M
Twin Peaks: The Missing Pieces,2014,8.1,0,1,0,1,0,0,M
Aliens vs Predator - Requiem,2007,4.7,0,1,0,1,1,0,M
Pacific Rim,2013,7,0,1,0,0,1,0,M
"Crazy, Stupid, Love.",2011,7.4,1,1,1,0,0,0,M
Scott Pilgrim vs. the World,2010,7.5,1,1,0,0,1,0,M
Hot Fuzz,2007,7.9,1,0,0,1,1,0,M
Mine,2016,6,0,0,0,0,1,1,M
Free Fire,2016,7,1,0,0,1,1,0,M
X-Men: Days of Future Past,2014,8,0,1,0,0,1,0,M
Jack Reacher: Never Go Back,2016,6.1,0,0,0,1,1,0,M
Casino Royale,2006,8,0,0,0,0,1,0,M
Twilight,2008,5.2,0,1,1,0,0,0,M
Now You See Me 2,2016,6.5,1,0,0,0,1,0,M
Woman in Gold,2015,7.3,0,1,0,0,0,1,M
13 Hours,2016,7.3,0,1,0,0,1,1,M
Spectre,2015,6.8,0,0,0,0,1,0,M
Nightcrawler,2014,7.9,0,1,0,1,1,0,M
Kubo and the Two Strings,2016,7.9,1,0,0,0,1,0,M
