"title","year","homepage","popularity","romance","horror","action","comedy","fantasy","non-fiction","type"
"The Boondock Saints II: All Saints Day","2009","http://www.sonypictures.com/movies/boondocksaints2/","5.9","0","1","1","0","0","0","M"
"Krush Groove","1985","","7","1","0","0","0","1","1","M"
"Better Luck Tomorrow","2002","","6.5","0","1","0","0","1","0","M"
"On Deadly Ground","1994","","4.5","0","0","1","0","0","0","M"
"Memoirs of an Invisible Man","1992","http://www.theofficialjohncarpenter.com/memoirs-of-an-invisible-man/","5.7","0","0","0","1","1","0","M"
"Not Easily Broken","2009","http://www.sonypictures.com/movies/noteasilybroken/site/","6.3","1","0","0","0","1","0","M"
"Halloween","1978","http://www.theofficialjohncarpenter.com/halloween/","7.4","0","1","1","0","0","0","M"
"The Young and Prodigious T.S. Spivet","2013","","6.7","0","0","1","0","1","0","M"
"The Artist","2011","http://www.warnerbros.fr/the-artist","7.3","1","0","0","1","1","0","M"
"Madagascar","2005","","6.6","0","0","0","1","0","0","M"
"Good Dick","2008","http://www.gooddickthefilm.com/","6.1","1","0","0","1","1","0","M"
"The Right Stuff","1983","","7.3","0","0","0","0","1","1","M"
"Woo","1998","","5.5","1","0","0","1","0","0","M"
"Emma","2009","","7.6","1","0","0","1","1","0","M"
"Tanner Hall","2009","http://www.tannerhallthefilm.com/","5.4","0","0","0","0","1","0","M"
"Bully","2001","","6.7","0","1","0","0","1","0","M"
"Waiting...","2005","","6.2","0","0","0","1","0","0","M"
"Heartbreakers","2001","","5.7","1","1","0","1","0","0","M"
"A Man for All Seasons","2066","","7.5","0","0","0","0","1","1","M"
"Space Pirate Captain Harlock","2013","","6.5","0","0","0","1","1","0","M"
"Ouija","2014","","4.9","0","1","0","0","0","0","M"
"Mr. Smith Goes to Washington","2039","","7.9","0","0","0","1","1","0","M"
"Blow Out","1981","","7.3","0","1","1","0","1","0","M"
"All That Jazz","1979","","7.3","0","0","0","0","1","1","M"
"The Long Kiss Goodnight","1996","","6.5","0","1","1","0","0","0","M"
"Hud","2063","","7.5","0","0","1","0","1","0","M"
"Girl with a Pearl Earring","2003","","6.4","1","0","0","0","1","0","M"
"House of D","2005","http://www.houseofdthemovie.com/","6.1","0","0","0","1","1","0","M"
"The Notebook","2004","http://www.newline.com/properties/notebookthe.html","7.7","1","0","0","0","1","0","M"
"The Conformist","1970","","7.6","0","0","0","0","1","0","M"
"The Unborn","2009","http://www.theunbornmovie.net/","4.8","0","1","1","0","0","0","M"
"The Circle","2000","","6.6","0","0","0","0","1","0","M"
"Margin Call","2011","http://www.margincallmovie.com/","6.7","0","0","1","0","1","0","M"
"Fiddler on the Roof","1971","","7.4","1","0","0","0","1","0","M"
"Good Boy!","2003","http://www.goodboy.com/","4.7","0","0","0","1","1","0","M"
"Kids","1995","","6.8","0","1","0","0","1","0","M"
"1941","1979","","5.6","0","0","1","1","0","0","M"
"How to Lose a Guy in 10 Days","2003","","6.3","1","0","0","1","0","0","M"
"The Chumscrubber","2005","","6.7","0","0","0","1","1","0","M"
"Videodrome","1983","","7.1","0","1","0","0","1","0","M"
"School Daze","1988","","6.2","0","0","0","1","1","0","M"
"Dead Man's Shoes","2004","","7.2","0","1","1","0","1","0","M"
"Be Kind Rewind","2008","","6.2","0","0","0","1","1","0","M"
"Gremlins","1984","","6.9","0","1","0","1","1","0","M"
"Pearl Harbor","2001","","6.6","1","0","0","0","0","1","M"
"A Nightmare on Elm Street 3: Dream Warriors","1987","","6.5","0","1","1","0","0","0","M"
"Das Boot","1981","http://www.dasboot.com","7.9","0","0","1","0","1","1","M"
"Gothika","2003","http://gothikamovie.warnerbros.com/","5.8","0","1","1","0","0","0","M"
"Valkyrie","2008","","6.7","0","0","1","0","1","1","M"
"The Straight Story","1999","","7.7","0","0","0","0","1","0","M"
"The City of Your Final Destination","2009","","5.7","0","0","0","0","1","0","M"
"Burlesque","2010","http://www.burlesquethemovie.com/","6.9","1","0","0","0","1","0","M"
"Flying By","2009","","7","0","0","0","0","1","0","M"
"Open Road","2013","","5.2","0","0","1","0","1","0","M"
"Stay Alive","2006","","5.3","0","1","1","0","0","0","M"
"The Man from Earth","2007","http://manfromearth.com/","7.7","0","0","0","0","1","0","M"
"Network","1976","","7.7","0","0","0","0","1","0","M"
"Anonymous","2011","http://www.anonymous-movie.com/","6.3","0","0","1","0","1","1","M"
"Next Day Air","2009","http://nextdayair-movie.com/","5.3","0","1","1","1","0","0","M"
"Groove","2000","","5.6","1","0","0","0","1","1","M"
"A Christmas Carol","2009","http://disney.go.com/disneypictures/achristmascarol/?cmp=dcom_VAN_WDSHE_ACC_van_dcomcc__Extl","6.6","0","0","0","1","1","0","M"
"Raising Helen","2004","","5.9","1","0","0","1","1","0","M"
"Kissing Jessica Stein","2001","","5.9","0","0","0","1","0","0","M"
"Detention","2011","http://detentionmovie.com/","5.7","0","1","0","1","1","0","M"
"The Celebration","1998","http://nimbusfilm.dk/film/festen/?lang=en","7.7","0","0","0","0","1","0","M"
"Any Given Sunday","1999","","6.8","0","0","0","0","1","0","M"
"Super Size Me","2004","","6.6","0","0","0","1","1","1","M"
"The Texas Chainsaw Massacre: The Beginning","2006","","5.9","0","1","0","0","0","0","M"
"Desert Dancer","2014","","6.5","0","0","0","0","1","0","M"
"Alpha and Omega","2010","http://alphaandomega3d.com/index.html","5.3","0","0","0","1","0","0","M"
"Beauty Shop","2005","","5.4","1","0","0","1","0","0","M"
"Medicine Man","1992","","5.8","0","0","1","0","0","0","M"
"Joe Somebody","2001","","5.5","0","0","0","1","0","0","M"
"Fight Club","1999","http://www.foxmovies.com/movies/fight-club","8.3","0","0","0","0","1","0","M"
"And So It Goes","2014","","5.7","1","0","0","1","1","0","M"
"Twin Falls Idaho","1999","","7","1","0","0","0","1","0","M"
"Green Zone","2010","http://www.greenzonemovie.com/","6.4","0","0","1","0","1","1","M"
"Song One","2014","http://songonemovie.tumblr.com/","5.5","0","0","0","0","1","0","M"
"American Desi","2001","","5","1","0","0","1","1","0","M"
"Predator 2","1990","","5.9","0","0","1","0","1","0","M"
"Interview with the Vampire","1994","","7.2","1","1","0","0","0","0","M"
"Dark City","1998","","7.2","0","1","0","0","1","0","M"
"The Lord of the Rings: The Fellowship of the Ring","2001","http://www.lordoftherings.net/","8","0","0","1","0","1","0","M"
"Cinco de Mayo: La Batalla","2013","http://www.facebook.com/CincodeMayo.LaPelicula","5.8","0","0","0","0","1","1","M"
"A Bug's Life","1998","http://movies.disney.com/a-bugs-life","6.8","0","0","1","1","0","0","M"
"Get Low","2010","","6.5","0","1","0","1","1","0","M"
"The Core","2003","","5.4","0","0","1","0","1","0","M"
"Three Kings","1999","","6.6","0","0","1","1","0","0","M"
"Last Vegas","2013","","6.4","0","0","0","1","0","0","M"
"An Education","2009","http://www.sonyclassics.com/aneducation/","6.8","1","0","0","0","1","0","M"
"Mr. Nice Guy","1997","","6.3","0","1","1","1","0","0","M"
"Jane Got a Gun","2016","https://www.facebook.com/JaneGotAGunFilm/","5.4","0","0","1","0","1","0","M"
"Smokin' Aces","2006","http://www.smokinaces.net/","6.4","0","1","1","1","0","0","M"
"Cure","1997","","7.4","0","1","1","0","0","0","M"
"Finding Forrester","2000","","7","0","0","0","0","1","0","M"
"Three Men and a Baby","1987","","5.8","0","0","0","1","1","0","M"
"Boat Trip","2002","","4.7","0","0","0","1","0","0","M"
"An Ideal Husband","1999","","6.3","1","0","0","1","1","0","M"
"Rugrats in Paris: The Movie","2000","","6","0","0","1","1","0","0","M"
"Samantha: An American Girl Holiday","2004","","4.6","0","0","0","0","1","0","M"
"Angela's Ashes","1999","","7","0","0","0","0","1","0","M"
"Aliens vs Predator: Requiem","2007","http://www.avp-r.com/","4.9","0","1","1","0","1","0","M"
"The Lucky Ones","2008","http://www.theluckyonesmovie.com/","6.3","0","0","0","1","1","1","M"
"The Duchess","2008","http://www.theduchessmovie.com/","6.7","1","0","0","0","1","1","M"
"The Young Messiah","2016","","6.4","0","0","0","0","1","0","M"
"The Visitors II: The Corridors of Time","1998","","5.8","0","0","0","1","1","0","M"
"Shopgirl","2005","","5.7","1","0","0","1","1","0","M"
"On The Downlow","2004","","6","0","0","0","0","1","0","M"
"Trippin'","1999","","4.5","1","0","0","1","0","0","M"
"Around the World in 80 Days","2004","","5.7","0","0","1","1","0","0","M"
"D??????????????????j?????????????????? Vu","1998","","8","1","0","0","0","1","0","M"
"Freedom","2014","http://themoviefreedom.com/","5.8","0","0","0","0","1","0","M"
"Amidst the Devil's Wings","2014","","0","0","1","1","0","1","0","M"
"Arlington Road","1999","","7","0","1","1","0","1","0","M"
"Doctor Dolittle","1998","","5.4","0","0","0","1","1","0","M"
"We Are Marshall","2006","","6.7","0","0","0","0","1","0","M"
"From Hell","2001","","6.6","0","1","1","0","0","0","M"
"A Mighty Wind","2003","","6.6","0","0","0","1","0","1","M"
"Trees Lounge","1996","","6.7","0","0","0","1","1","0","M"
"Never Back Down 2: The Beatdown","2011","","5.8","0","0","1","0","1","0","M"
"Yesterday Was a Lie","2008","http://www.heliconarts.com/yesterday/","6","0","1","1","0","1","0","M"
"The Peanuts Movie","2015","http://www.peanutsmovie.com/","6.5","0","0","0","1","0","0","M"
"Spy Kids","2001","","5.5","0","0","1","1","0","0","M"
"Think Like a Man Too","2014","","6.4","1","0","0","1","0","0","M"
"Nutty Professor II: The Klumps","2000","","4.7","1","0","0","1","1","0","M"
"Saint John of Las Vegas","2009","http://www.saintjohnmovie.com/","5.9","0","0","0","1","0","0","M"
"A Fine Step","2014","","4.1","0","0","0","0","1","0","M"
"A.I. Artificial Intelligence","2001","","6.8","0","0","1","0","1","0","M"
"The Dead Zone","1983","","6.9","0","1","1","0","1","0","M"
"Let's Go to Prison","2006","","5.5","0","1","0","1","0","0","M"
"Winter in Wartime","2008","http://www.sonyclassics.com/winterinwartime/","6.8","0","0","0","0","1","1","M"
"Mean Creek","2004","http://www.meancreekmovie.com/","6.9","0","1","0","0","1","0","M"
"The Rock","1996","","6.9","0","0","1","0","0","0","M"
"Untraceable","2008","http://www.sonypictures.com/movies/untraceable/","5.9","0","0","0","0","1","0","M"
"Dracula: Pages from a Virgin's Diary","2002","","6.9","0","1","0","0","0","0","M"
"Christmas Eve","2015","http://www.thestuckmovie.com/#menu","6.1","1","0","0","1","0","0","M"
"Think Like a Man","2012","http://www.sonypictures.com/movies/thinklikeaman/","6.9","1","0","0","1","0","0","M"
"The FP","2011","","4.5","0","0","0","1","0","0","M"
"For Your Eyes Only","1981","http://www.mgm.com/view/movie/695/For-Your-Eyes-Only/","6.3","0","0","1","0","0","0","M"
"House of Flying Daggers","2004","","7.1","1","0","1","0","1","0","M"
"Once Upon a Time in America","1984","","8.2","0","1","0","0","1","0","M"
"The Last Exorcism","2010","http://thelastexorcism.com/","5.6","0","1","1","0","1","0","M"
"All the Boys Love Mandy Lane","2008","http://www.mandylane.co.uk","5.7","0","1","1","0","0","0","M"
"Because of Winn-Dixie","2005","","6.1","0","0","0","1","1","0","M"
"Ninja Assassin","2009","http://ninja-assassin-movie.warnerbros.com/","6.2","0","1","1","0","0","0","M"
"Doctor Zhivago","2065","","7.4","1","0","0","0","1","1","M"
"Yes Man","2008","","6.4","0","0","0","1","0","0","M"
"The Prince of Tides","1991","","5.9","1","0","0","0","1","0","M"
"The Last Days on Mars","2013","","5.2","0","1","1","0","1","0","M"
"Barbarella","1968","","5.7","0","0","0","0","1","0","M"
"The Mask","1994","","6.6","1","1","0","1","1","0","M"
"All the Real Girls","2003","http://www.sonyclassics.com/alltherealgirls/","5.9","1","0","0","0","1","0","M"
"The Soloist","2009","http://www.soloistmovie.com","6.6","0","0","0","0","1","0","M"
"Transporter 2","2005","","6.2","0","1","1","0","0","0","M"
"Bandidas","2006","","5.8","0","1","1","1","0","0","M"
"Run, Fatboy, Run","2007","http://www.runfatboyrunmovie.com/","6.2","1","0","0","1","0","0","M"
"Loose Cannons","2010","http://www.minevaganti.net/","7","1","0","0","1","1","0","M"
"The Beyond","1981","","6.6","0","1","0","0","0","0","M"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2005","","6.7","0","0","1","0","1","0","M"
"Elsa & Fred","2014","","6.2","1","0","0","1","0","0","M"
"Mission: Impossible II","2000","http://www.missionimpossible.com/","5.9","0","0","1","0","0","0","M"
"The Horse Whisperer","1998","","6.7","1","0","0","0","1","0","M"
"Spirit: Stallion of the Cimarron","2002","","7.4","0","0","1","1","0","0","M"
"The Ninth Gate","1999","","6.3","0","1","1","0","0","0","M"
"Saved!","2004","http://www.savedmovie.com/","6.3","0","0","0","1","1","0","M"
"Superman","1978","","6.9","0","0","1","0","1","0","M"
"Lies in Plain Sight","2010","","4.5","0","1","1","0","1","0","M"
"The Inkwell","1994","","3.9","1","0","0","1","1","0","M"
"The Score","2001","","6.7","0","1","1","0","0","0","M"
"The Robe","2053","","6.4","0","0","0","0","1","0","M"
"Date Movie","2006","","3.6","0","0","0","1","0","0","M"
"28 Days","2000","","6","0","0","0","1","1","0","M"
"Major Dundee","2065","","6.2","0","0","1","0","0","1","M"
"Troop Beverly Hills","1989","","5.6","0","0","1","1","0","0","M"
"The Importance of Being Earnest","2002","","6.7","1","0","0","1","1","1","M"
"Blackthorn","2011","http://www.blackthornmovie.com/","6.6","0","0","1","0","0","0","M"
"The Covenant","2006","","5.2","0","1","1","0","1","0","M"
"Saw: The Final Chapter","2010","http://www.saw3dmovie.com","5.8","0","1","0","0","0","0","M"
"Deconstructing Harry","1997","","7.3","0","0","0","1","1","0","M"
"Before Sunrise","1995","","7.7","1","0","0","0","1","0","M"
"Scary Movie 4","2006","","5.3","0","0","0","1","0","0","M"
"D-Tox","2002","","5.3","0","0","1","0","0","0","M"
"Million Dollar Arm","2014","http://movies.disney.com/million-dollar-arm","6.6","0","0","0","0","1","0","M"
"Tootsie","1982","","6.9","1","0","0","1","0","0","M"
"Big Miracle","2012","http://www.everybodyloveswhales.com/","6.6","1","0","1","0","1","0","M"
"Bodyguards and Assassins","2009","http://www.bodyguardsandassassins.com/","6.5","0","0","1","0","1","1","M"
"Draft Day","2014","","6.5","0","0","0","0","1","0","M"
"Warlock","1989","","5.8","0","1","1","1","1","0","M"
"Dick","1999","","5.7","0","0","0","1","0","0","M"
"Black Water Transit","2009","","0","0","1","0","0","1","0","M"
"Darkness","2002","http://www.miramax.com/movie/darkness","5.6","0","1","0","0","0","0","M"
"Dead Man Down","2013","","5.9","0","1","1","0","1","0","M"
"Freaky Deaky","2012","","4.9","0","0","0","1","0","0","M"
"Love & Basketball","2000","","7.4","1","0","1","1","1","0","M"
"Bled","2008","","3.8","0","1","0","0","0","0","M"
"Ali","2001","","6.7","0","0","0","0","1","0","M"
"Lifeforce","1985","","6.2","0","1","1","0","1","0","M"
"Spellbound","2045","","7.3","0","1","1","0","1","0","M"
"Journey from the Fall","2006","http://www.journeyfromthefall.com/home.aspx","5","0","0","0","0","1","0","M"
"Legends of the Fall","1994","","7.2","1","0","1","0","1","1","M"
"Hudson Hawk","1991","","5.4","0","0","1","1","0","0","M"
"Three to Tango","1999","","5.4","1","0","0","1","0","0","M"
"The Quick and the Dead","1995","","6.3","0","0","1","0","0","0","M"
"Return to Never Land","2002","","6.1","0","0","1","1","1","0","M"
"The Love Letter","1998","","4.7","1","0","0","1","1","0","M"
"Light It Up","1999","","6.6","0","0","1","0","1","0","M"
"Hurricane Streets","1997","","4.8","1","1","0","0","1","0","M"
"Containment","2015","http://www.containment-film.com/","5.1","0","1","1","0","1","0","M"
"The Specialist","1994","","5.5","0","0","1","0","0","0","M"
"Faith Like Potatoes","2006","","6","0","0","0","0","1","0","M"
"The Barbarian Invasions","2003","","6.7","0","1","0","1","1","0","M"
"Unleashed","2005","http://www.universalstudiosentertainment.com/unleashed/","6.6","0","1","1","0","0","0","M"
"Theresa Is a Mother","2015","","0","0","0","0","1","1","1","M"
"24 7: Twenty Four Seven","1997","","6.3","1","0","0","1","1","0","M"
"40 Days and 40 Nights","2002","","5.2","1","0","0","1","0","0","M"
"Blade II","2002","http://www.warnerbros.com/blade-ii","6.2","0","1","1","0","1","0","M"
"Margaret","2011","http://www.foxsearchlight.com/margaret/","6.1","0","0","0","0","1","0","M"
"The Deep End of the Ocean","1999","","5.9","0","1","0","0","1","0","M"
"Signs","2002","","6.4","0","1","1","0","1","0","M"
"Red River","2048","","7.3","0","0","1","0","0","0","M"
"The Perfect Storm","2000","","6.2","0","0","0","0","1","0","M"
"Beyond the Lights","2014","http://beyondthelightsmovie.tumblr.com/","7","1","0","0","0","1","0","M"
"We Have Your Husband","2011","","5","0","1","1","0","1","0","M"
"The Legend of Bagger Vance","2000","","6.3","0","0","0","0","1","0","M"
"Happy Christmas","2014","","5.2","0","0","0","1","1","0","M"
"Ice Age: The Meltdown","2006","http://www.iceagemovies.com/films/ice-age-the-meltdown","6.5","0","0","1","1","0","0","M"
"The Nutty Professor","1996","","5.4","1","0","0","1","1","0","M"
"For Love of the Game","1999","","6.3","1","0","0","0","1","0","M"
"Barbershop","2002","","6.2","0","0","0","1","1","0","M"
"Lilya 4-ever","2002","","7.7","0","1","0","0","1","0","M"
"Collateral","2004","","7","0","1","1","0","1","0","M"
"Point Blank","1967","","7.1","0","1","1","0","1","0","M"
"Evil Words","2003","","6.9","0","1","1","0","0","0","M"
"Extreme Measures","1996","","5.7","0","0","1","0","1","0","M"
"An Alan Smithee Film: Burn, Hollywood, Burn","1998","","3","0","0","0","1","0","0","M"
"Shadow of the Vampire","2000","","6.6","0","1","0","0","1","0","M"
"Serendipity","2001","","6.6","1","0","0","1","0","0","M"
"Stick It","2006","","6.3","0","0","0","1","1","0","M"
"Four Rooms","1995","","6.5","0","1","0","1","0","0","M"
"Madea's Witness Protection","2012","http://madeaswitnessprotectionmovie.com/","5.9","0","1","0","1","1","0","M"
"The Object of My Affection","1998","","5.6","1","0","0","1","1","0","M"
"Mirror Mirror","2012","","5.5","0","0","1","1","1","0","M"
"Can't Hardly Wait","1998","","6.1","1","0","0","1","1","0","M"
"Runner Runner","2013","http://www.runnerrunnermovie.com/","5.5","0","1","1","0","1","0","M"
"Wild Grass","2009","http://www.sonyclassics.com/wildgrass/","5.8","1","0","0","0","1","0","M"
"The Royal Tenenbaums","2001","","7.4","0","0","0","1","1","0","M"
"A Haunted House 2","2014","","5.4","0","1","0","1","0","0","M"
"27 Dresses","2008","http://www.27dressesthemovie.com/","6.1","1","0","0","1","0","0","M"
"The Family Man","2000","","6.5","1","0","0","1","1","0","M"
"The Incredibly True Adventure of Two Girls In Love","1995","","5.7","1","0","0","1","1","0","M"
"Alvin and the Chipmunks","2007","http://www.chipmunks.com","5.5","0","0","0","1","1","1","M"
"Thank You for Smoking","2005","","7.1","0","0","0","1","1","0","M"
"Mozart's Sister","2010","","6.2","0","0","0","0","1","0","M"
"Coyote Ugly","2000","","5.8","0","0","0","1","0","0","M"
"Elling","2001","","7","0","0","0","1","1","0","M"
"There Be Dragons","2011","http://therebedragonsmovie.com/","5.9","0","0","0","0","1","0","M"
"Getaway","2013","http://www.getawaymovie.com/","4.9","0","1","1","0","0","0","M"
"Teeth","2007","","5.2","0","1","0","1","0","0","M"
"Alien Zone","1978","","4","0","1","1","0","1","0","M"
"Kevin Hart: Let Me Explain","2013","http://kevinhartnation.com/portfolio/let-me-explain-2012/","7.1","0","0","0","1","0","1","M"
"Mirrors","2008","","6","0","1","1","0","0","0","M"
"Bang Bang Baby","2014","","6.6","0","0","0","0","1","1","M"
"Proof of Life","2000","","6","1","0","1","0","1","0","M"
"Panic Room","2002","http://www.sonypictures.com/movies/panicroom/","6.5","0","1","1","0","1","0","M"
"The Adventures of Sharkboy and Lavagirl","2005","http://www.miramax.com/movie/the-adventures-of-sharkboy-and-lavagirl/","4.4","0","0","1","0","1","0","M"
"Underworld: Evolution","2006","http://www.sonypictures.com/movies/underworldawakening/","6.4","0","0","1","0","1","0","M"
"Am??????????????????lie","2001","http://www.die-fabelhafte-welt-der-amelie.de","7.8","1","0","0","1","0","0","M"
"Driven","2001","","4.5","0","0","1","0","0","0","M"
"Hot Rod","2007","","6.3","0","0","1","1","0","0","M"
"Beverly Hills Cop","1984","","6.8","0","1","1","1","0","0","M"
"American Pie","1999","","6.4","1","0","0","1","0","0","M"
"Paul Blart: Mall Cop 2","2015","","5","0","0","1","1","0","0","M"
"Batman & Robin","1997","","4.2","0","1","1","0","1","0","M"
"A Mighty Heart","2007","http://www.amightyheartmovie.com/","6.7","0","0","1","0","1","0","M"
"Jindabyne","2006","http://www.sonyclassics.com/jindabyne/","5.7","0","1","1","0","1","0","M"
"Tarnation","2003","","7.5","0","0","0","0","1","1","M"
"Brigham City","2001","","7.3","0","1","1","0","1","0","M"
"The Horseman on the Roof","1995","","6.7","1","0","1","0","1","1","M"
"Fear and Loathing in Las Vegas","1998","","7.2","0","0","1","1","1","0","M"
"Crazy Heart","2009","","6.8","1","0","0","0","1","1","M"
"Man on Wire","2008","http://www.manonwire.com/","7.5","0","1","1","0","0","1","M"
"Zookeeper","2011","http://www.zookeeper-movie.com/","5.3","1","0","0","1","0","0","M"
"The Legend of Hercules","2014","","4.4","0","0","1","0","0","0","M"
"Forsaken","2015","","5.8","0","0","1","0","1","0","M"
"Police Academy: Mission to Moscow","1994","","4.1","0","1","0","1","0","0","M"
"Kiss of the Dragon","2001","","6.4","0","1","1","0","0","0","M"
"20 Dates","1998","","3.7","1","0","0","1","0","0","M"
"A Farewell to Arms","2032","","6.2","1","0","0","0","1","1","M"
"Lock, Stock and Two Smoking Barrels","1998","http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/","7.5","0","1","0","1","0","0","M"
"Analyze That","2002","","5.7","0","1","0","1","0","0","M"
"The Passion of the Christ","2004","http://www.thepassionofthechrist.com/","6.9","0","0","0","0","1","0","M"
"Mean Machine","2001","","6","0","0","0","1","1","0","M"
"Love Actually","2003","http://www.loveactually.com/","7","1","0","0","1","1","0","M"
"How the Grinch Stole Christmas","2000","http://www.grinched.com/","6.2","0","0","0","1","1","0","M"
"Mrs. Doubtfire","1993","","7","0","0","0","1","1","0","M"
"Instructions Not Included","2013","","7.5","0","0","0","1","1","0","M"
"Queen Crab","2015","","3.3","0","0","0","0","1","0","M"
"Meet the Parents","2000","","6.6","1","0","0","1","0","0","M"
"Interview with the Assassin","2002","","5.6","0","0","1","0","1","0","M"
"A Very Long Engagement","2004","","7.1","0","0","0","0","1","0","M"
"Enough Said","2013","","6.6","1","0","0","1","1","0","M"
"The Rose","1979","","6.8","1","0","0","0","1","1","M"
"Tin Can Man","2007","http://tincanmanthemovie.com/","2","0","1","0","0","0","0","M"
"The Sum of All Fears","2002","http://www.paramount.com/movies/sum-all-fears","5.9","0","0","1","0","1","0","M"
"Antitrust","2001","http://www.antitrustthemovie.com/","5.8","0","1","1","0","1","0","M"
"Queen of the Damned","2002","","5.4","0","1","0","0","1","0","M"
"Kabhi Alvida Naa Kehna","2006","","6.1","1","0","0","0","1","0","M"
"Identity","2003","","7.1","0","1","1","0","0","0","M"
"Angel Eyes","2001","http://angeleyesmovie.warnerbros.com/index_noflash.html","5.6","1","0","1","0","1","0","M"
"Lethal Weapon 3","1992","","6.4","0","1","1","1","0","0","M"
"I Want Your Money","2010","http://www.iwantyourmoney.net/","3.8","0","0","0","0","0","1","M"
"Ernest & Celestine","2012","","7.6","0","0","0","1","1","0","M"
"Sorority Boys","2002","","4.6","0","0","0","1","0","0","M"
"Home Alone","1990","https://www.foxconnect.com/home-alone-4.html","7.1","0","0","0","1","0","0","M"
"The Ballad of Gregorio Cortez","1983","","0","0","0","1","0","0","0","M"
"X-Men","2000","","6.8","0","0","1","0","1","0","M"
"Amen.","2002","","7.1","0","0","0","0","1","1","M"
"The Tooth Fairy","2006","","4.3","0","1","0","0","0","0","M"
"The Trials Of Darryl Hunt","2007","","6.8","0","0","0","0","0","1","M"
"Mortal Kombat: Annihilation","1997","","3.8","0","0","1","0","1","0","M"
"They Came Together","2014","","5.3","0","0","0","1","0","0","M"
"Zathura: A Space Adventure","2005","","6.1","0","0","1","0","1","0","M"
"Blood Done Sign My Name","2010","","6","0","1","0","0","1","0","M"
"Gone with the Wind","2039","","7.7","1","0","0","0","1","1","M"
"Fiza","2000","","6.1","1","0","0","0","1","0","M"
"Daddy Day Camp","2007","http://www.sonypictures.com/movies/daddydaycamp/site/","4.4","0","0","0","1","0","0","M"
"The Perfect Match","2016","","5.2","1","0","0","1","0","0","M"
"The Adventures of Pluto Nash","2002","","4.4","0","0","1","1","1","0","M"
"Rapa Nui","1994","","6.2","0","0","1","0","0","0","M"
"The Squid and the Whale","2005","","6.9","0","0","0","1","1","0","M"
"The Invention of Lying","2009","http://the-invention-of-lying.warnerbros.com/","6","1","0","0","1","1","0","M"
"Hannah Montana: The Movie","2009","http://disney.go.com/disneypictures/hannahmontanamovie/","6","1","0","0","1","1","1","M"
"Righteous Kill","2008","http://www.righteouskill-themovie.com","5.9","0","1","1","0","1","0","M"
"The Outsiders","1983","","6.9","0","1","0","0","1","0","M"
"Whatever It Takes","2000","","5","1","0","0","1","1","0","M"
"Shade","2003","","6.1","0","1","1","0","0","0","M"
"My Own Private Idaho","1991","","7.1","1","0","0","0","1","0","M"
"New York Minute","2004","","5.5","0","0","0","1","0","0","M"
"Cheri","2009","","5.9","1","0","0","1","1","0","M"
"Mrs Henderson Presents","2005","","6.4","0","0","0","1","1","0","M"
"The Rules of Attraction","2002","","6.3","1","0","0","1","1","0","M"
"Six-String Samurai","1998","","5.8","0","0","1","0","1","0","M"
"Abandoned","2015","","5.8","0","0","1","0","1","0","M"
"Elmer Gantry","2060","","7.3","0","0","0","0","1","0","M"
"Michael Clayton","2007","http://michaelclayton.warnerbros.com/","6.5","0","1","0","0","1","0","M"
"The Beach","2000","","6.3","1","0","1","0","1","0","M"
"Shark Night","2011","http://www.iamrogue.com/sharknight3d/fullsite/index.html","4.9","0","1","1","0","0","0","M"
"Lost in Space","1998","","5","0","0","1","0","1","0","M"
"Amistad","1997","","6.8","0","1","0","0","1","1","M"
"Scream 2","1997","","6.1","0","1","0","0","0","0","M"
"Deuces Wild","2002","http://www.mgm.com/sites/deuceswild/intro/","5.5","1","1","1","0","1","0","M"
"Two Brothers","2004","","6.9","0","0","1","0","1","0","M"
"Quigley Down Under","1990","","6.5","1","0","1","0","1","0","M"
"Romeo + Juliet","1996","http://www.romeoandjuliet.com/","6.7","1","0","0","0","1","0","M"
"The NeverEnding Story","1984","","7","0","0","1","0","1","0","M"
"The R.M.","2003","http://www.halestormentertainment.com/p_movies_details.asp?mID=jnlppmp8","4.8","0","1","0","1","0","0","M"
"The Ice Storm","1997","","6.9","0","0","0","0","1","0","M"
"Rudderless","2014","","7.4","0","0","0","1","1","1","M"
"The Spanish Apartment","2002","","7","1","0","0","1","1","0","M"
"Star Wars","1977","http://www.starwars.com/films/star-wars-episode-iv-a-new-hope","8.1","0","0","1","0","1","0","M"
"Fear Clinic","2014","http://www.fearclinicmovie.com/","4","0","1","0","0","0","0","M"
"From a Whisper to a Scream","1987","","6.8","0","1","0","1","0","0","M"
"August","2011","http://erapfilms.com/august/","6.2","0","0","0","0","1","0","M"
"The French Connection","1971","","7.4","0","1","1","0","0","0","M"
"Thunderball","2065","http://www.mgm.com/view/movie/2009/Thunderball/","6.5","0","0","1","0","0","0","M"
"Chuck & Buck","2000","","5.7","0","0","0","1","1","0","M"
"Mi America","2015","http://miamericamovie.net/","0","0","1","0","0","1","0","M"
"Dirty Work","1998","","6.5","0","0","0","1","0","0","M"
"The Best Man Holiday","2013","","6.7","0","0","0","1","0","0","M"
"Ride with the Devil","1999","","6.6","1","0","1","0","1","1","M"
"Dreamer: Inspired By a True Story","2005","","6.3","0","0","0","0","1","0","M"
