,record_id,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
54,54,Fun with Dick and Jane,2005,5.9,http://www.sonypictures.com/movies/funwithdickandjane/,M,0,1,0,0,0,0
55,55,The Last Samurai,2003,7.3,https://www.google.com/,M,1,0,1,0,1,0
56,56,Spider-Man,2002,6.8,http://www.sonypictures.com/movies/spider-man/,M,1,0,1,0,0,0
57,57,Stealth,2005,4.9,https://www.google.com/,M,1,0,0,0,0,0
58,58,Lethal Weapon 4,1998,6.3,https://www.google.com/,M,1,1,0,1,0,0
59,59,Hulk,2003,5.3,https://www.google.com/,M,1,0,1,0,0,0
60,60,Sahara,2005,5.7,https://www.google.com/,M,1,1,1,1,0,0
61,61,Final Fantasy: The Spirits Within,2001,5.9,https://www.google.com/,M,1,1,1,0,0,0
62,62,The World Is Not Enough,1999,6,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,M,1,0,0,0,0,0
63,63,Master and Commander: The Far Side of the World,2003,6.9,http://www.masterandcommanderthefarsideoftheworld.com/,M,1,0,0,0,0,0
64,64,Happy Feet Two,2011,5.8,http://happyfeettwo.warnerbros.com/index.html,M,0,1,0,0,0,0
65,65,Turbo,2013,6.1,http://www.turbomovie.com/,M,0,1,0,0,0,0
66,66,Rango,2011,6.6,http://www.rangomovie.com/,M,1,1,0,0,0,0
67,67,Penguins of Madagascar,2014,6.5,https://www.google.com/,M,1,1,0,0,0,0
68,68,War of the Worlds,2005,6.2,https://www.google.com/,M,1,0,1,0,0,0
69,69,Bad Boys II,2003,6.3,https://www.google.com/,M,1,1,0,1,0,0
70,70,Puss in Boots,2011,6.4,https://www.google.com/,M,1,1,1,0,0,0
71,71,The Adventures of Tintin,2011,6.7,http://www.us.movie.tintin.com/,M,1,1,0,1,0,0
72,72,Harry Potter and the Prisoner of Azkaban,2004,7.7,https://www.google.com/,M,1,0,1,0,0,0
73,73,Dinosaur,2000,6.2,https://www.google.com/,M,0,1,0,0,0,0
74,74,Harry Potter and the Philosopher's Stone,2001,7.5,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,M,1,0,1,0,0,0
75,75,R.I.P.D.,2013,5.4,http://www.ripd.com/,M,1,1,1,1,0,0
76,76,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.5,http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,M,1,0,1,0,0,0
77,77,Rio 2,2014,6.3,http://www.riomovies.com/,M,1,1,0,0,0,0
78,78,X2,2003,6.8,https://www.google.com/,M,1,0,1,0,0,0
79,79,Total Recall,1990,7.1,https://www.google.com/,M,1,0,1,0,0,0
80,80,The 13th Warrior,1999,6.4,https://www.google.com/,M,1,0,1,0,0,0
81,81,Batman & Robin,1997,4.2,https://www.google.com/,M,1,0,1,1,0,0
82,82,How the Grinch Stole Christmas,2000,6.2,http://www.grinched.com/,M,0,1,1,0,0,0
83,83,The Day After Tomorrow,2004,6.2,http://www.thedayaftertomorrow.com/,M,1,0,1,0,0,0
84,84,Mission: Impossible II,2000,5.9,http://www.missionimpossible.com/,M,1,0,0,0,0,0
85,85,The Perfect Storm,2000,6.2,https://www.google.com/,M,0,0,1,0,0,0
86,86,Fantastic 4: Rise of the Silver Surfer,2007,5.4,https://www.google.com/,M,1,0,1,0,0,0
87,87,Charlie's Angels: Full Throttle,2003,5.2,https://www.google.com/,M,1,1,0,0,0,0
88,88,Stuart Little 2,2002,5.4,https://www.google.com/,M,1,1,0,0,0,0
