"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"Gran Torino","2008","8.2","0","1","0","0","0","0","M","Gran Torino","2008","http://www.thegrantorino.com/","7.8","0","0","0","0","1","0","M","100"
"Carrie","2013","5.9","0","1","0","1","0","0","M","Carrie","2013","http://www.carrie-movie.com","5.8","0","1","0","0","1","0","M","100"
"Incendies","2010","8.2","0","1","0","1","0","1","M","Incendies","2010","http://www.sonyclassics.com/incendies/","7.9","0","1","0","0","1","1","M","100"
"The Lone Ranger","2013","6.5","0","0","0","0","1","0","M","The Lone Ranger","2013","http://disney.go.com/the-lone-ranger/","5.9","0","0","1","0","0","0","M","100"
"Child 44","2015","6.5","0","1","0","1","1","0","M","Child 44","2015","","6.1","0","1","1","0","0","0","M","100"
"Whiplash","2014","8.5","0","1","0","0","0","1","M","Whiplash","2014","http://sonyclassics.com/whiplash/","8.3","0","0","0","0","1","0","M","100"
"Despicable Me","2010","7.7","1","0","0","0","1","0","M","Despicable Me","2010","http://www.despicable.me/","7.1","0","0","0","1","0","0","M","100"
"The Giver","2014","6.5","0","1","1","0","0","0","M","The Giver","2014","http://thegiverfilm.com/","6.4","0","0","0","0","1","0","M","100"
"Horrible Bosses","2011","6.9","1","0","0","1","0","0","M","Horrible Bosses","2011","http://horriblebossesmovie.warnerbros.com/index.html","6.5","0","1","0","1","0","0","M","100"
"Hotel Transylvania 2","2015","6.7","1","0","0","0","0","0","M","Hotel Transylvania 2","2015","","6.7","0","0","0","1","0","0","M","100"
"Man of Steel","2013","7.1","0","1","0","0","1","0","M","Man of Steel","2013","http://www.manofsteel.com/","6.5","0","0","1","0","1","0","M","100"
"X-Men: Apocalypse","2016","7.1","0","1","0","0","1","0","M","X-Men: Apocalypse","2016","http://www.foxmovies.com/movies/x-men-apocalypse","6.4","0","0","0","0","1","0","M","100"
"Central Intelligence","2016","6.3","1","0","0","1","1","0","M","Central Intelligence","2016","http://www.centralintelligencemovie.com/","6.2","0","0","1","1","0","0","M","100"
"1408","2007","6.8","0","1","0","1","0","0","M","1408","2007","http://www.1408-themovie.com/","6.5","0","1","1","0","0","0","M","100"
"The Dark Knight","2008","9","0","1","0","1","1","0","M","The Dark Knight","2008","http://thedarkknight.warnerbros.com/dvdsite/","8.2","0","1","1","0","1","0","M","100"
"To Rome with Love","2012","6.3","1","0","1","0","0","0","M","To Rome with Love","2012","","5.6","1","0","0","1","0","0","M","100"
"The Maze Runner","2014","6.8","0","1","0","1","1","0","M","The Maze Runner","2014","http://themazerunnermovie.com/","7","0","1","1","0","1","0","M","100"
"Selma","2014","7.5","0","1","0","0","0","1","M","Selma","2014","","7.4","0","0","0","0","1","1","M","100"
"Footloose","2011","5.9","1","1","0","0","0","1","M","Footloose","1984","","6.4","1","0","0","0","1","1","M","100"
"Seven Pounds","2008","7.7","0","1","1","0","0","0","M","Seven Pounds","2008","http://www.sonypictures.com/movies/sevenpounds/","7.5","0","0","0","0","1","0","M","100"
"True Grit","2010","7.6","0","1","0","0","1","0","M","True Grit","2010","http://www.truegritmovie.com/","7.2","0","0","1","0","1","0","M","100"
"Pan's Labyrinth","2006","8.2","0","1","0","0","0","1","M","Pan's Labyrinth","2006","http://www.panslabyrinth.com","7.6","0","0","0","0","1","1","M","100"
"Burnt","2015","6.6","1","1","0","0","0","0","M","Burnt","2015","http://burntmovie.com/","6.3","0","0","0","0","1","0","M","100"
"Dredd","2012","7.1","0","1","0","0","1","0","M","Dredd","2012","http://dreddthemovie.com/","6.6","0","0","1","0","1","0","M","100"
"Hancock","2008","6.4","0","1","0","1","1","0","M","Hancock","2008","http://www.sonypictures.com/movies/hancock/","6.2","0","0","1","0","1","0","M","100"
"Up in the Air","2009","7.4","0","1","1","0","0","0","M","Up in the Air","2009","http://www.theupintheairmovie.com/","6.7","1","0","0","0","1","0","M","100"
"Taken","2008","7.8","0","0","0","0","1","0","M","Taken","2008","","7.2","0","0","1","0","0","0","M","100"
"G.I. Joe: Retaliation","2013","5.8","0","1","0","0","1","0","M","G.I. Joe: Retaliation","2013","http://www.gijoemovie.com","5.4","0","0","1","0","1","0","M","100"
"Ted 2","2015","6.3","1","0","1","0","1","0","M","Ted 2","2015","","6.2","0","0","0","1","0","0","M","100"
"Get Hard","2015","6","1","0","0","1","0","0","M","Get Hard","2015","","5.9","0","0","0","1","0","0","M","100"
"Cars","2006","7.1","1","0","0","0","1","0","M","Cars","2006","http://disney.go.com/disneyvideos/animatedfilms/cars/","6.6","0","0","1","1","0","0","M","100"
"Life of Pi","2012","7.9","0","1","0","0","1","0","M","Life of Pi","2012","http://www.lifeofpimovie.com/","7.2","0","0","1","0","1","0","M","100"
"I Am Legend","2007","7.2","0","1","0","1","0","0","M","I Am Legend","2007","http://iamlegend.warnerbros.com/","6.9","0","1","1","0","1","0","M","100"
"Up","2009","8.3","1","0","0","0","1","0","M","Up","2009","http://disney.go.com/disneypictures/up/","7.7","0","0","1","1","0","0","M","100"
"In Bruges","2008","7.9","1","1","0","1","0","0","M","In Bruges","2008","http://www.filminfocus.com/film/in_bruges","7.4","0","1","0","1","1","0","M","100"
"The Best of Me","2014","6.7","0","1","1","0","0","0","M","The Best of Me","2014","","7.2","1","0","0","0","1","0","M","100"
"The Devil Wears Prada","2006","6.8","1","1","0","0","0","0","M","The Devil Wears Prada","2006","http://www.devilwearspradamovie.com/","7","1","0","0","1","1","0","M","100"
"The Fighter","2010","7.8","0","1","0","0","1","1","M","The Fighter","2010","http://www.thefightermovie.com","7.2","0","0","0","0","1","0","M","100"
"Daddy's Home","2015","6.1","1","0","0","0","0","0","M","Daddy's Home","2015","http://daddyshomemovie.tumblr.com/","5.8","0","0","0","1","0","0","M","100"
"The Avengers","2012","8.1","0","1","0","0","1","0","M","The Avengers","2012","http://marvel.com/avengers_movie/","7.4","0","0","1","0","1","0","M","100"
"Precious","2009","7.3","0","1","0","0","0","0","M","Precious","2009","http://www.weareallprecious.com/","6.9","0","0","0","0","1","0","M","100"
"Hairspray","2007","6.7","1","1","0","0","0","0","M","Hairspray","2007","http://www.hairspraymovie.com/","6.5","1","0","0","1","0","1","M","100"
"Slumdog Millionaire","2008","8","0","1","0","0","0","0","M","Slumdog Millionaire","2008","http://www.foxsearchlight.com/slumdogmillionaire","7.6","1","0","0","0","1","0","M","100"
"Rescue Dawn","2006","7.3","0","1","0","0","1","1","M","Rescue Dawn","2006","","6.9","0","0","1","0","1","1","M","100"
"Nerve","2016","6.6","0","0","0","1","1","0","M","Nerve","2016","http://www.playnerve.com/","7.1","0","1","1","0","0","0","M","100"
"The King's Speech","2010","8","0","1","0","0","0","1","M","The King's Speech","2010","http://www.kingsspeech.com/","7.6","0","0","0","0","1","1","M","100"
"Warm Bodies","2013","6.9","1","0","1","1","0","0","M","Warm Bodies","2013","","6.4","1","1","0","1","0","0","M","100"
"The DUFF","2015","6.5","1","0","0","0","0","0","M","The DUFF","2015","http://www.duffmovie.com/","6.8","1","0","0","1","0","0","M","100"
"Annabelle","2014","5.4","0","0","0","1","1","0","M","Annabelle","2014","http://annabellemovie.com/","5.6","0","1","0","0","0","0","M","100"
"Pirates of the Caribbean: On Stranger Tides","2011","6.7","0","1","0","0","1","0","M","Pirates of the Caribbean: On Stranger Tides","2011","http://disney.go.com/pirates/index-on-stranger-tides.html#/video/","6.4","0","0","1","0","1","0","M","100"
"Safe Haven","2013","6.7","0","1","1","0","1","0","M","Safe Haven","2013","","6.9","1","0","0","0","0","0","M","100"
"Insidious","2010","6.8","0","0","0","1","1","0","M","Insidious","2010","http://www.insidious-movie.com/","6.8","0","1","1","0","0","0","M","100"
"Paul","2011","7","1","1","0","0","1","0","M","Paul","2011","http://paulthemovie.co.uk/","6.5","0","0","1","1","1","0","M","100"
"Ghost Rider","2007","5.2","0","1","0","0","1","0","M","Ghost Rider","2007","http://www.sonypictures.com/movies/ghostrider/","5.2","0","1","1","0","1","0","M","100"
"Jack Reacher","2012","7","0","0","0","1","1","0","M","Jack Reacher","2012","http://www.jackreachermovie.com/","6.3","0","1","1","0","1","0","M","100"
"Regression","2015","5.7","0","1","0","1","0","0","M","Regression","2015","","5.3","0","1","1","0","0","0","M","100"
"The Hills Have Eyes","2006","6.4","0","0","0","1","0","0","M","The Hills Have Eyes","2006","http://www.foxsearchlight.com/thehillshaveeyes/","6.1","0","1","1","0","0","0","M","100"
"Into the Woods","2014","6","1","1","0","0","1","0","M","Into the Woods","2014","http://movies.disney.com/into-the-woods/","5.6","0","0","0","1","1","1","M","100"
"Inside Man","2006","7.6","0","1","0","1","0","0","M","Inside Man","2006","http://theinsideman.net","7.3","0","1","1","0","1","0","M","100"
"The Fountain","2006","7.3","0","1","0","0","0","0","M","The Fountain","2006","http://thefountainmovie.warnerbros.com/","6.8","1","0","1","0","1","0","M","100"
"Percy Jackson: Sea of Monsters","2013","5.9","0","1","0","0","1","0","M","Percy Jackson: Sea of Monsters","2013","http://www.percyjacksonthemovie.com/us/#!/home","5.9","0","0","1","0","1","0","M","100"
"Captain Phillips","2013","7.8","0","1","0","0","1","1","M","Captain Phillips","2013","http://www.captainphillipsmovie.com","7.6","0","0","1","0","1","0","M","100"
"Iron Man","2008","7.9","0","1","0","0","1","0","M","Iron Man","2008","http://www.ironmanmovie.com/","7.4","0","0","1","0","1","0","M","100"
"Jason Bourne","2016","6.7","0","0","0","0","1","0","M","Jason Bourne","2016","http://www.jasonbournemovie.com","5.9","0","0","1","0","0","0","M","100"
"Men in Black 3","2012","6.8","1","0","0","0","1","0","M","Men in Black 3","2012","http://www.sonypictures.com/movies/meninblack3/","6.2","0","0","1","1","1","0","M","100"
"Looper","2012","7.4","0","1","0","1","1","0","M","Looper","2012","http://loopermovie.com/","6.6","0","0","1","0","1","0","M","100"
"Ratatouille","2007","8","1","0","0","0","0","0","M","Ratatouille","2007","http://disney.go.com/disneypictures/ratatouille/","7.5","0","0","0","1","1","0","M","100"
"Riddick","2013","6.4","0","1","0","0","1","0","M","Riddick","2013","http://www.riddick-movie.com","6.2","0","0","1","0","1","0","M","100"
"Jumper","2008","6.1","0","1","0","0","1","0","M","Jumper","2008","http://www.fox.co.uk/jumper","5.9","0","0","1","0","1","0","M","100"
"The Hobbit: The Battle of the Five Armies","2014","7.4","0","1","0","0","1","0","M","The Hobbit: The Battle of the Five Armies","2014","http://www.thehobbit.com/","7.1","0","0","1","0","1","0","M","100"
"I Origins","2014","7.3","0","1","1","0","0","0","M","I Origins","2014","","7.5","0","0","0","0","1","0","M","100"
"Scream 4","2011","6.2","0","0","0","1","0","0","M","Scream 4","2011","http://www.scream-4.com/","6.1","0","1","0","0","0","0","M","100"
"Sin City: A Dame to Kill For","2014","6.5","0","0","0","1","1","0","M","Sin City: A Dame to Kill For","2014","http://sincity-2.com/","6.3","0","1","1","0","0","0","M","100"
"21 Jump Street","2012","7.2","1","0","0","1","1","0","M","21 Jump Street","2012","http://www.21jumpstreet-movie.com/","6.7","0","1","1","1","0","0","M","100"
"The Princess and the Frog","2009","7.1","1","0","0","0","1","0","M","The Princess and the Frog","2009","http://disney.go.com/disneypictures/princessandthefrog/","6.7","1","0","0","1","0","1","M","100"
"If I Stay","2014","6.8","0","1","0","0","0","1","M","If I Stay","2014","","7.3","0","0","0","0","1","0","M","100"
"Captain America: The First Avenger","2011","6.9","0","1","0","0","1","0","M","Captain America: The First Avenger","2011","http://captainamerica.marvel.com/","6.6","0","0","1","0","1","0","M","100"
"Now You See Me","2013","7.3","0","0","0","1","1","0","M","Now You See Me","2013","","7.3","0","1","1","0","0","0","M","100"
"It Follows","2014","6.9","0","0","0","1","0","0","M","It Follows","2015","","6.6","0","1","1","0","0","0","M","100"
"Hugo","2011","7.5","0","1","0","0","1","0","M","Hugo","2011","http://www.hugomovie.com/","7","0","0","1","0","1","0","M","100"
"The Help","2011","8.1","0","1","0","0","0","0","M","The Help","2011","http://thehelpmovie.com/#/splash","7.8","0","0","0","0","1","0","M","100"
"The Promise","2016","5.9","0","1","0","0","0","1","M","The Promise","2005","http://thepromisemovie.net","5","1","0","1","0","1","0","M","100"
"42","2013","7.5","0","1","0","0","0","1","M","42","2013","","6.8","0","0","0","0","1","0","M","100"
"Prometheus","2012","7","0","1","0","1","1","0","M","Prometheus","2012","http://www.projectprometheus.com/","6.3","0","1","1","0","1","0","M","100"
"The Amazing Spider-Man","2012","7","0","0","0","0","1","0","M","The Amazing Spider-Man","2012","http://www.theamazingspiderman.com","6.5","0","0","1","0","1","0","M","100"
"The Martian","2015","8","0","1","0","0","1","0","M","The Martian","2015","http://www.foxmovies.com/movies/the-martian","7.6","0","0","1","0","1","0","M","100"
"Money Monster","2016","6.5","0","1","0","1","1","0","M","Money Monster","2016","","6.5","0","0","1","0","0","0","M","100"
"Kick-Ass","2010","7.7","1","0","0","0","1","0","M","Kick-Ass","2010","","7.1","0","1","1","0","0","0","M","100"
"Step Up","2006","6.5","0","1","0","1","0","1","M","Step Up","2006","","6.7","1","1","0","0","1","1","M","100"
"21","2008","6.8","0","1","0","1","1","0","M","21","2008","http://www.sonypictures.com/movies/21/","6.5","0","1","0","0","1","0","M","100"
"Dallas Buyers Club","2013","8","0","1","0","0","0","1","M","Dallas Buyers Club","2013","","7.9","0","0","0","0","1","1","M","100"
"Grown Ups","2010","6","1","0","0","0","0","0","M","Grown Ups","2010","http://www.grownups-movie.com/","6","0","0","0","1","0","0","M","100"
"Hellboy II: The Golden Army","2008","7","0","1","0","0","1","0","M","Hellboy II: The Golden Army","2008","","6.5","0","0","1","0","1","0","M","100"
"Zack and Miri Make a Porno","2008","6.6","1","0","1","0","0","0","M","Zack and Miri Make a Porno","2008","http://www.zackandmiri.com","6.1","0","0","0","1","0","0","M","100"
"Taken 3","2014","6","0","0","0","0","1","0","M","Taken 3","2014","http://www.taken3movie.com/","6.1","0","0","1","0","0","0","M","100"
"Orphan","2009","7","0","0","0","1","1","0","M","Orphan","2009","","6.7","0","1","1","0","0","0","M","100"
"Yoga Hosers","2016","4.3","1","1","0","1","0","0","M","Yoga Hosers","2016","http://www.yogahosers.com/","4.7","0","1","1","1","1","0","M","100"
"Contagion","2011","6.6","0","1","0","0","1","0","M","Contagion","2011","http://contagionmovie.warnerbros.com/","6.2","0","0","1","0","1","0","M","100"
"Warrior","2011","8.2","0","1","0","0","1","1","M","Warrior","2011","http://www.warriorfilm.com/index2.html","7.7","0","0","1","0","1","0","M","100"
"The Spectacular Now","2013","7.1","1","1","1","0","0","0","M","The Spectacular Now","2013","http://spectacularnowmovie.com/","6.8","1","0","0","1","1","0","M","100"
"Now You See Me 2","2016","6.5","1","0","0","0","1","0","M","Now You See Me 2","2016","http://nowyouseeme.movie","6.7","0","1","1","1","0","0","M","100"
"She's the Man","2006","6.4","1","0","1","0","0","1","M","She's the Man","2006","","6.4","1","0","0","1","1","0","M","100"
"Inglourious Basterds","2009","8.3","0","1","0","0","1","1","M","Inglourious Basterds","2009","http://www.inglouriousbasterds-movie.com/","7.9","0","0","1","0","1","1","M","100"
"Trainwreck","2015","6.3","1","1","1","0","0","0","M","Trainwreck","2015","","5.9","0","0","0","1","0","0","M","100"
"Everest","2015","7.1","0","1","0","0","1","0","M","Everest","2015","http://www.everestmovie.com/","6.7","0","0","1","0","1","0","M","100"
"The Finest Hours","2016","6.8","0","1","0","0","1","1","M","The Finest Hours","2016","https://www.facebook.com/thefinesthoursmovie","6.3","0","0","1","0","1","1","M","100"
"The Assassination of Jesse James by the Coward Robert Ford","2007","7.5","0","1","0","1","0","1","M","The Assassination of Jesse James by the Coward Robert Ford","2007","http://jessejamesmovie.warnerbros.com/","7","0","0","1","0","1","0","M","100"
"The Mummy: Tomb of the Dragon Emperor","2008","5.2","0","1","0","0","1","0","M","The Mummy: Tomb of the Dragon Emperor","2008","http://www.themummy.com/","5.2","0","0","1","0","1","0","M","100"
"Max","2015","6.8","0","0","0","0","1","0","M","Max","2015","","6.8","0","0","1","0","1","0","M","100"
"Pandorum","2009","6.8","0","0","0","1","1","0","M","Pandorum","2009","http://www.pandorummovie.com/","6.5","0","1","1","0","1","0","M","100"
"Zodiac","2007","7.7","0","1","0","1","0","1","M","Zodiac","2007","","7.3","0","1","1","0","1","0","M","100"
"The Equalizer","2014","7.2","0","0","0","1","1","0","M","The Equalizer","2014","","7.1","0","1","1","0","0","0","M","100"
"Blended","2014","6.5","1","0","1","0","0","0","M","Blended","2014","","6.6","0","0","0","1","0","0","M","100"
"Robin Hood","2010","6.7","0","1","0","0","1","0","M","Robin Hood","2010","http://www.robinhoodthemovie.com/","6.2","0","0","1","0","0","0","M","100"
"Hot Fuzz","2007","7.9","1","0","0","1","1","0","M","Hot Fuzz","2007","http://www.universalstudiosentertainment.com/hot-fuzz/","7.4","0","1","1","1","0","0","M","100"
"Silver Linings Playbook","2012","7.8","1","1","1","0","0","0","M","Silver Linings Playbook","2012","http://silverliningsplaybookmovie.com/","6.9","1","0","0","1","1","0","M","100"
"The Longest Ride","2015","7.1","0","1","1","0","0","0","M","The Longest Ride","2015","","7.3","1","0","0","0","1","0","M","100"
"Freedom Writers","2007","7.5","0","1","0","1","0","1","M","Freedom Writers","2007","http://www.freedomwriters.com/","7.5","0","1","0","0","1","0","M","100"
"Suicide Squad","2016","6.2","0","1","0","0","1","0","M","Suicide Squad","2016","http://www.suicidesquad.com/","5.9","0","1","1","0","1","0","M","100"
"Perfume: The Story of a Murderer","2006","7.5","0","1","0","1","0","0","M","Perfume: The Story of a Murderer","2006","http://www.parfum.film.de/","7.1","0","1","0","0","1","0","M","100"
"The Hobbit: The Desolation of Smaug","2013","7.9","0","1","0","0","1","0","M","The Hobbit: The Desolation of Smaug","2013","http://www.thehobbit.com/","7.6","0","0","1","0","1","0","M","100"
"Elysium","2013","6.6","0","1","0","0","1","0","M","Elysium","2013","","6.4","0","0","1","0","1","0","M","100"
"X-Men Origins: Wolverine","2009","6.7","0","1","0","0","1","0","M","X-Men Origins: Wolverine","2009","http://www.x-menorigins.com/","6.2","0","0","1","0","1","0","M","100"
"Body of Lies","2008","7.1","0","1","1","0","1","0","M","Body of Lies","2008","http://wwws.warnerbros.co.uk/bodyoflies/","6.5","0","0","1","0","1","0","M","100"
"Endless Love","2014","6.3","0","1","1","0","0","0","M","Endless Love","2014","","6.7","1","0","0","0","1","0","M","100"
"The Imitation Game","2014","8.1","0","1","0","0","1","1","M","The Imitation Game","2014","http://theimitationgamemovie.com/","8","0","0","1","0","1","1","M","100"
"The Twilight Saga: Breaking Dawn - Part 2","2012","5.5","0","1","0","0","1","0","M","The Twilight Saga: Breaking Dawn - Part 2","2012","","6.1","1","0","1","0","1","0","M","100"
"Sex Tape","2014","5.1","1","0","1","0","0","0","M","Sex Tape","2014","","5.3","0","0","0","1","0","0","M","100"
"Forgetting Sarah Marshall","2008","7.2","1","1","1","0","0","0","M","Forgetting Sarah Marshall","2008","http://www.forgettingsarahmarshall.com/","6.4","1","0","0","1","1","0","M","100"
"Pitch Perfect","2012","7.2","1","0","1","0","0","1","M","Pitch Perfect","2012","http://www.pitchperfectmovie.com/","7.3","1","0","0","1","0","1","M","100"
"Seven Psychopaths","2012","7.2","1","0","0","1","0","0","M","Seven Psychopaths","2012","http://www.sevenpsychopaths.com/","6.7","0","1","0","1","0","0","M","100"
"Coraline","2009","7.7","1","1","0","0","0","0","M","Coraline","2009","http://coraline.com/","7.3","0","0","0","1","0","0","M","100"
"Moon","2009","7.9","0","1","0","1","0","0","M","Moon","2009","http://www.sonyclassics.com/moon/","7.6","0","0","0","0","1","0","M","100"
"Oculus","2013","6.5","0","0","0","1","0","0","M","Oculus","2013","","6.3","0","1","0","0","0","0","M","100"
"Vicky Cristina Barcelona","2008","7.1","0","1","1","0","0","0","M","Vicky Cristina Barcelona","2008","","6.7","1","0","0","0","1","0","M","100"
"Sex and the City 2","2010","4.3","1","1","1","0","0","0","M","Sex and the City 2","2010","http://www.sexandthecitymovie.com/","5.4","1","0","0","1","1","0","M","100"
"Spotlight","2015","8.1","0","1","0","1","0","1","M","Spotlight","2015","http://www.spotlightthefilm.com","7.8","0","0","1","0","1","1","M","100"
"The Intern","2015","7.1","1","1","0","0","0","0","M","The Intern","2015","http://www.theinternmovie.com/","7.1","0","0","0","1","0","0","M","100"
"The Master","2012","7.1","0","1","0","0","0","0","M","The Master","2012","","7","0","0","0","0","1","0","M","100"
"Hands of Stone","2016","6.6","0","1","0","0","1","1","M","Hands of Stone","2016","","6.1","0","0","0","0","1","0","M","100"
"The Happening","2008","5","0","1","0","0","1","0","M","The Happening","2008","http://www.thehappeningmovie.com","4.9","0","0","1","0","1","0","M","100"
"The Golden Compass","2007","6.1","0","1","0","0","1","0","M","The Golden Compass","2007","http://www.goldencompassmovie.com/index_german.html","5.8","0","0","1","0","1","0","M","100"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","6.2","1","0","0","0","0","0","M","Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","http://movies.disney.com/alexander-and-the-terrible-horrible-no-good-very-bad-day/","6.1","0","0","0","1","0","0","M","100"
"The Pursuit of Happyness","2006","8","0","1","0","0","0","1","M","The Pursuit of Happyness","2006","http://www.sonypictures.com/homevideo/thepursuitofhappyness/","7.7","0","0","0","0","1","0","M","100"
"August Rush","2007","7.5","0","1","0","0","0","1","M","August Rush","2007","http://augustrushmovie.warnerbros.com/","7.1","0","0","0","0","1","0","M","100"
"Edge of Tomorrow","2014","7.9","0","1","0","0","1","0","M","Edge of Tomorrow","2014","http://www.edgeoftomorrowmovie.com/","7.6","0","0","1","0","1","0","M","100"
"Frozen","2013","7.5","1","0","0","0","1","0","M","Frozen","2013","http://movies.disney.com/frozen","7.3","0","0","1","1","0","0","M","100"
"Concussion","2015","7.1","0","1","0","0","0","1","M","Concussion","2015","http://www.sonypictures.com/movies/concussion/","7","0","0","0","0","1","0","M","100"
"The Heat","2013","6.6","1","0","0","1","1","0","M","The Heat","2013","","6.5","0","1","1","1","0","0","M","100"
"The Incredible Hulk","2008","6.8","0","1","0","0","1","0","M","The Incredible Hulk","2008","","6.1","0","0","1","0","1","0","M","100"
"The Expendables","2010","6.5","0","0","0","0","1","0","M","The Expendables","2010","http://expendablesthemovie.com/","6","0","0","1","0","0","0","M","100"
"Final Destination 5","2011","5.9","0","0","0","1","1","0","M","Final Destination 5","2011","http://finaldestinationmovie.warnerbros.com/index.html","5.9","0","1","0","0","0","0","M","100"
"Rio","2011","6.9","1","0","0","0","1","0","M","Rio","2011","http://www.riomovies.com/","6.5","0","0","1","1","0","0","M","100"
"RoboCop","2014","6.2","0","1","0","1","1","0","M","RoboCop","2014","http://www.robocop.com","5.7","0","0","1","0","1","0","M","100"
"Crazy, Stupid, Love.","2011","7.4","1","1","1","0","0","0","M","Crazy, Stupid, Love.","2011","http://crazystupidlove.warnerbros.com/index.html","7","1","0","0","1","1","0","M","100"
"Inherent Vice","2014","6.7","1","1","0","1","0","0","M","Inherent Vice","2014","http://inherentvicemovie.com/","6.5","1","1","0","1","1","0","M","100"
"The BFG","2016","6.4","0","1","0","0","1","0","M","The BFG","2016","http://movies.disney.com/the-bfg","6","0","0","1","0","1","0","M","100"
"Midnight Special","2016","6.7","0","1","0","1","0","0","M","Midnight Special","2016","http://www.midnightspecialmovie.com/","6.2","0","0","1","0","1","0","M","100"
"Sunshine","2007","7.3","0","1","0","0","1","0","M","Sunshine","2007","","7","0","0","1","0","1","0","M","100"
"Savages","2012","6.5","0","1","0","1","1","0","M","Savages","2012","http://www.savagesfilm.com/","6.2","0","1","1","0","1","0","M","100"
"Diary of a Wimpy Kid","2010","6.2","1","0","0","0","0","0","M","Diary of a Wimpy Kid","2010","http://www.fox.co.uk/diary-of-a-wimpy-kid","5.9","0","0","0","1","0","0","M","100"
"Never Back Down","2008","6.6","0","1","0","0","1","1","M","Never Back Down","2008","http://www.neverbackdownthemovie.com/","6.4","0","0","1","0","1","0","M","100"
"My Big Fat Greek Wedding 2","2016","6","1","0","1","0","0","0","M","My Big Fat Greek Wedding 2","2016","","5.5","1","0","0","1","0","0","M","100"
"The Hunger Games","2012","7.2","0","1","0","0","1","0","M","The Hunger Games","2012","http://www.thehungergames.movie/","6.9","0","0","1","0","1","0","M","100"
"Unfriended","2014","5.6","0","1","0","1","0","0","M","Unfriended","2015","","5.5","0","1","1","0","0","0","M","100"
"Cinderella","2015","7","0","1","0","0","0","0","M","Cinderella","2015","http://movies.disney.com/cinderella","6.7","1","0","0","0","1","0","M","100"
"Lady in the Water","2006","5.6","0","1","0","1","0","0","M","Lady in the Water","2006","","5.3","0","1","1","0","1","0","M","100"
"The Revenant","2015","8","0","1","0","0","1","0","M","The Revenant","2015","http://www.foxmovies.com/movies/the-revenant","7.3","0","0","1","0","1","0","M","100"
"Bride Wars","2009","5.5","1","0","1","0","0","0","M","Bride Wars","2009","http://www.bridewars.com","5.9","0","0","0","1","0","0","M","100"
"Captain America: Civil War","2016","7.9","0","1","0","0","1","0","M","Captain America: Civil War","2016","http://marvel.com/captainamericapremiere","7.1","0","0","1","0","1","0","M","100"
"Cloverfield","2008","7","0","1","0","1","1","0","M","Cloverfield","2008","http://www.cloverfieldmovie.com/","6.4","0","0","1","0","1","0","M","100"
"The 5th Wave","2016","5.2","0","1","0","0","1","0","M","The 5th Wave","2016","https://www.facebook.com/5thWaveMovie/","5.6","0","0","1","0","1","0","M","100"
"Thor: The Dark World","2013","7","0","1","0","0","1","0","M","Thor: The Dark World","2013","http://marvel.com/thor","6.8","0","0","1","0","1","0","M","100"
"The Perks of Being a Wallflower","2012","8","0","1","1","0","0","0","M","The Perks of Being a Wallflower","2012","http://perks-of-being-a-wallflower.com/","7.7","1","0","0","0","1","0","M","100"
"The Lives of Others","2006","8.5","0","1","0","0","1","0","M","The Lives of Others","2006","","7.9","0","0","1","0","1","0","M","100"
"G.I. Joe: The Rise of Cobra","2009","5.8","0","1","0","0","1","0","M","G.I. Joe: The Rise of Cobra","2009","http://www.gijoemovie.com/","5.6","0","0","1","0","1","0","M","100"
"Diary of a Wimpy Kid: Rodrick Rules","2011","6.6","1","0","0","0","0","0","M","Diary of a Wimpy Kid: Rodrick Rules","2011","http://www.diaryofawimpykidmovie.com/","6.3","0","0","0","1","0","0","M","100"
"Mama","2013","6.2","0","0","0","1","1","0","M","Mama","2013","http://www.mamamovie.com/","6","0","1","0","0","0","0","M","100"
"Under the Skin","2013","6.3","0","1","0","1","0","0","M","Under the Skin","2014","","6","0","0","1","0","1","0","M","100"
"3 Days to Kill","2014","6.2","0","1","0","0","1","0","M","3 Days to Kill","2014","","6","0","1","1","0","1","0","M","100"
"Black Mass","2015","6.9","0","1","0","1","0","1","M","Black Mass","2015","","6.3","0","1","0","0","1","0","M","100"
"Inside Out","2015","8.2","1","0","0","0","1","0","M","Inside Out","2015","http://movies.disney.com/inside-out","8","0","0","0","1","1","0","M","100"
"Jennifer's Body","2009","5.1","1","0","0","1","0","0","M","Jennifer's Body","2009","","5.3","0","1","0","1","0","0","M","100"
"Creed","2015","7.6","0","1","0","0","0","1","M","Creed","2015","http://creedthemovie.com/","7.3","0","0","0","0","1","0","M","100"
"The Mortal Instruments: City of Bones","2013","5.9","0","1","0","1","1","0","M","The Mortal Instruments: City of Bones","2013","http://www.themortalinstrumentsmovie.com/","6.2","1","1","1","0","1","0","M","100"
"Mad Max: Fury Road","2015","8.1","0","1","0","0","1","0","M","Mad Max: Fury Road","2015","http://www.madmaxmovie.com/","7.2","0","0","1","0","1","0","M","100"
