"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"Spectre","2015","6.8","0","0","0","0","1","0","M","Spectre","2015","http://www.sonypictures.com/movies/spectre/","6.3","0","1","1","0","0","0","M","100"
"Movie 43","2013","4.3","1","0","1","0","0","0","M","Movie 43","2013","","4.4","0","0","0","1","0","0","M","100"
"The Dark Knight Rises","2012","8.5","0","0","0","0","1","0","M","The Dark Knight Rises","2012","http://www.thedarkknightrises.com/","7.6","0","1","1","0","1","0","M","100"
"Indiana Jones and the Kingdom of the Crystal Skull","2008","6.2","0","1","0","0","1","0","M","Indiana Jones and the Kingdom of the Crystal Skull","2008","http://www.indianajones.com/site/index.html","5.7","0","0","1","0","0","0","M","100"
"Mission: Impossible - Ghost Protocol","2011","7.4","0","0","0","0","1","0","M","Mission: Impossible - Ghost Protocol","2011","http://www.missionimpossible.com/","6.8","0","0","1","0","0","0","M","100"
"Tropic Thunder","2008","7","1","0","0","0","1","0","M","Tropic Thunder","2008","http://www.tropicthunder.com/","6.5","0","0","1","1","0","0","M","100"
"300: Rise of an Empire","2014","6.2","0","1","0","0","1","0","M","300: Rise of an Empire","2014","http://www.300themovie.com/","6.1","0","0","1","0","0","1","M","100"
"Ted","2012","7","1","1","0","0","0","0","M","Ted","2012","http://www.tedisreal.com/","6.3","0","0","0","1","1","0","M","100"
"Lucy","2014","6.4","0","1","0","0","1","0","M","Lucy","2014","http://lucymovie.com/","6.3","0","0","1","0","1","0","M","100"
"This Means War","2012","6.3","1","0","1","0","1","0","M","This Means War","2012","http://www.thismeanswarmovie.com/","5.9","1","0","1","1","0","0","M","100"
"Fifty Shades of Grey","2015","4.1","0","1","1","0","1","0","M","Fifty Shades of Grey","2015","https://www.facebook.com/fiftyshadesofgreymovie","5.2","1","0","1","0","1","0","M","100"
"Melancholia","2011","7.1","0","1","0","0","0","0","M","Melancholia","2011","","7","0","0","0","0","1","0","M","100"
"The Big Short","2015","7.8","1","1","0","0","0","1","M","The Big Short","2015","http://www.thebigshortmovie.com/","7.3","0","0","0","1","1","0","M","100"
"John Carter","2012","6.6","0","1","0","0","1","0","M","John Carter","2012","http://movies.disney.com/john-carter","6.1","0","0","1","0","1","0","M","100"
"The Secret Life of Pets","2016","6.6","1","0","0","0","1","0","M","The Secret Life of Pets","2016","http://www.thesecretlifeofpets.com/","5.9","0","0","0","1","0","0","M","100"
"Fast Five","2011","7.3","0","0","0","1","1","0","M","Fast Five","2011","http://www.watchvideoseries.com/movies/fast-five-2011-2/","7.1","0","1","1","0","0","0","M","100"
"The Judge","2014","7.4","0","1","0","1","0","0","M","The Judge","2014","http://thejudgemovie.com/","7.2","0","0","0","0","1","0","M","100"
"Steve Jobs","2015","7.2","0","1","0","0","0","1","M","Steve Jobs","2015","http://www.stevejobsthefilm.com","6.8","0","0","0","0","1","1","M","100"
"District 9","2009","8","0","1","0","0","1","0","M","District 9","2009","http://www.d-9.com/","7.3","0","0","0","0","1","0","M","100"
"Hercules","2014","6","0","0","0","0","1","0","M","Hercules","2014","","5.6","0","0","1","0","0","0","M","100"
"The Girl with the Dragon Tattoo","2011","7.8","0","1","0","1","0","0","M","The Girl with the Dragon Tattoo","2011","http://dragontattoo.com/","7.2","0","1","1","0","1","0","M","100"
"A Good Year","2006","6.9","1","1","1","0","0","0","M","A Good Year","2006","","6.5","1","0","0","1","1","0","M","100"
"Talladega Nights: The Ballad of Ricky Bobby","2006","6.6","1","0","0","0","1","1","M","Talladega Nights: The Ballad of Ricky Bobby","2006","http://www.sonypictures.com/homevideo/talladeganights/","6.2","0","0","0","1","0","0","M","100"
"The World's End","2013","7","1","1","0","0","1","0","M","The World's End","2013","","6.7","0","0","1","1","1","0","M","100"
"The Fast and the Furious: Tokyo Drift","2006","6","0","0","0","1","1","0","M","The Fast and the Furious: Tokyo Drift","2006","http://www.thefastandthefurious3.com/","6.1","0","1","1","0","1","0","M","100"
"Spider-Man 3","2007","6.2","0","0","0","0","1","0","M","Spider-Man 3","2007","http://www.sonypictures.com/movies/spider-man3/","5.9","0","0","1","0","1","0","M","100"
"Couples Retreat","2009","5.5","1","0","0","0","0","0","M","Couples Retreat","2009","http://www.couplesretreatmovie.com/","5.3","1","0","0","1","0","0","M","100"
"The Cabin in the Woods","2012","7","0","0","0","1","0","0","M","The Cabin in the Woods","2012","http://www.discoverthecabininthewoods.com/","6.5","0","1","1","0","0","0","M","100"
"10 Cloverfield Lane","2016","7.2","0","1","0","1","0","0","M","10 Cloverfield Lane","2016","http://www.10cloverfieldlane.com/","6.8","0","0","1","0","1","0","M","100"
"Brave","2012","7.2","1","0","0","0","1","0","M","Brave","2012","http://disney.go.com/brave/#/home","6.7","0","0","1","1","1","0","M","100"
